,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
11,0.357,0.729,1,-5.736,1,0.0745,0.614,0.0434,0.337,0.594,179.861,audio_features,0v6tG0HoAHiluZAeany7oU,spotify:track:0v6tG0HoAHiluZAeany7oU,https://api.spotify.com/v1/tracks/0v6tG0HoAHiluZAeany7oU,https://api.spotify.com/v1/audio-analysis/0v6tG0HoAHiluZAeany7oU,540573,3,1999,acoustic
12,0.58,0.456,6,-12.376,1,0.0262,0.494,0.000535,0.106,0.383,101.986,audio_features,0B1GWkVTAQgTCJU2B6tzgH,spotify:track:0B1GWkVTAQgTCJU2B6tzgH,https://api.spotify.com/v1/tracks/0B1GWkVTAQgTCJU2B6tzgH,https://api.spotify.com/v1/audio-analysis/0B1GWkVTAQgTCJU2B6tzgH,258467,4,1999,acoustic
13,0.611,0.672,2,-6.474,1,0.0424,0.00956,0.000836,0.084,0.719,141.081,audio_features,68GkZWvVSFufwWWX8jo6lv,spotify:track:68GkZWvVSFufwWWX8jo6lv,https://api.spotify.com/v1/tracks/68GkZWvVSFufwWWX8jo6lv,https://api.spotify.com/v1/audio-analysis/68GkZWvVSFufwWWX8jo6lv,280333,4,1999,acoustic
14,0.485,0.145,1,-22.191,1,0.0385,0.985,0.911,0.0942,0.289,87.835,audio_features,1spd5WgVkFrG1O6ZjAVqbJ,spotify:track:1spd5WgVkFrG1O6ZjAVqbJ,https://api.spotify.com/v1/tracks/1spd5WgVkFrG1O6ZjAVqbJ,https://api.spotify.com/v1/audio-analysis/1spd5WgVkFrG1O6ZjAVqbJ,163866,4,1999,acoustic
15,0.49,0.373,0,-11.336,1,0.0343,0.746,0.0,0.119,0.434,139.257,audio_features,5DpcxTVr0K2K4UnQN8TEdX,spotify:track:5DpcxTVr0K2K4UnQN8TEdX,https://api.spotify.com/v1/tracks/5DpcxTVr0K2K4UnQN8TEdX,https://api.spotify.com/v1/audio-analysis/5DpcxTVr0K2K4UnQN8TEdX,243773,4,1999,acoustic
16,0.66,0.696,9,-7.096,1,0.0367,0.448,0.00194,0.0621,0.598,110.016,audio_features,75ZXx6ysguj5afBRtZ8tGR,spotify:track:75ZXx6ysguj5afBRtZ8tGR,https://api.spotify.com/v1/tracks/75ZXx6ysguj5afBRtZ8tGR,https://api.spotify.com/v1/audio-analysis/75ZXx6ysguj5afBRtZ8tGR,258400,4,1999,acoustic
17,0.542,0.169,4,-20.503,0,0.0425,0.956,0.909,0.102,0.539,112.522,audio_features,5iXomXedi29RsyuW3aypuZ,spotify:track:5iXomXedi29RsyuW3aypuZ,https://api.spotify.com/v1/tracks/5iXomXedi29RsyuW3aypuZ,https://api.spotify.com/v1/audio-analysis/5iXomXedi29RsyuW3aypuZ,141740,3,1999,acoustic
18,0.324,0.187,4,-21.442,1,0.0331,0.874,0.913,0.113,0.0656,97.826,audio_features,4onGvmHQFgSFaZ9FX9rH0S,spotify:track:4onGvmHQFgSFaZ9FX9rH0S,https://api.spotify.com/v1/tracks/4onGvmHQFgSFaZ9FX9rH0S,https://api.spotify.com/v1/audio-analysis/4onGvmHQFgSFaZ9FX9rH0S,205093,4,1999,acoustic
19,0.563,0.175,0,-17.541,1,0.0383,0.91,0.906,0.102,0.693,107.429,audio_features,0qbgld93PcZD7fGsdIzjqo,spotify:track:0qbgld93PcZD7fGsdIzjqo,https://api.spotify.com/v1/tracks/0qbgld93PcZD7fGsdIzjqo,https://api.spotify.com/v1/audio-analysis/0qbgld93PcZD7fGsdIzjqo,161306,4,1999,acoustic
20,0.474,0.552,1,-9.232,1,0.119,0.498,0.00377,0.593,0.765,173.302,audio_features,0ucfROd1kaXBwNG2AJUIzM,spotify:track:0ucfROd1kaXBwNG2AJUIzM,https://api.spotify.com/v1/tracks/0ucfROd1kaXBwNG2AJUIzM,https://api.spotify.com/v1/audio-analysis/0ucfROd1kaXBwNG2AJUIzM,459493,4,1999,acoustic
21,0.467,0.15,3,-19.533,1,0.0538,0.978,0.899,0.11,0.236,119.849,audio_features,41DPsO1YmfcQjrXYOdT5ZD,spotify:track:41DPsO1YmfcQjrXYOdT5ZD,https://api.spotify.com/v1/tracks/41DPsO1YmfcQjrXYOdT5ZD,https://api.spotify.com/v1/audio-analysis/41DPsO1YmfcQjrXYOdT5ZD,174420,3,1999,acoustic
22,0.52,0.399,10,-11.475,0,0.0281,0.859,0.119,0.111,0.563,94.003,audio_features,5bqaFVXy7NES4MIuDWmPTr,spotify:track:5bqaFVXy7NES4MIuDWmPTr,https://api.spotify.com/v1/tracks/5bqaFVXy7NES4MIuDWmPTr,https://api.spotify.com/v1/audio-analysis/5bqaFVXy7NES4MIuDWmPTr,170213,3,1999,acoustic
23,0.622,0.388,7,-10.139,1,0.0309,0.492,0.00527,0.123,0.176,111.638,audio_features,5GbHmwO6OO9WA6TBXiqH9p,spotify:track:5GbHmwO6OO9WA6TBXiqH9p,https://api.spotify.com/v1/tracks/5GbHmwO6OO9WA6TBXiqH9p,https://api.spotify.com/v1/audio-analysis/5GbHmwO6OO9WA6TBXiqH9p,180507,4,1999,acoustic
24,0.481,0.498,7,-9.308,1,0.0252,0.321,0.0122,0.107,0.663,83.966,audio_features,3toUKg94zULWCg8byL9nlq,spotify:track:3toUKg94zULWCg8byL9nlq,https://api.spotify.com/v1/tracks/3toUKg94zULWCg8byL9nlq,https://api.spotify.com/v1/audio-analysis/3toUKg94zULWCg8byL9nlq,201520,4,1999,acoustic
25,0.658,0.908,0,-7.692,1,0.0554,0.173,0.0,0.133,0.947,108.774,audio_features,0tlgBqax2ujssb3P86OSKg,spotify:track:0tlgBqax2ujssb3P86OSKg,https://api.spotify.com/v1/tracks/0tlgBqax2ujssb3P86OSKg,https://api.spotify.com/v1/audio-analysis/0tlgBqax2ujssb3P86OSKg,233560,4,1999,acoustic
26,0.445,0.642,0,-6.565,1,0.0272,0.542,0.119,0.101,0.552,106.283,audio_features,4SoCtNfdQYqgKbBSEeMxZJ,spotify:track:4SoCtNfdQYqgKbBSEeMxZJ,https://api.spotify.com/v1/tracks/4SoCtNfdQYqgKbBSEeMxZJ,https://api.spotify.com/v1/audio-analysis/4SoCtNfdQYqgKbBSEeMxZJ,344600,3,1999,acoustic
27,0.517,0.162,0,-22.077,1,0.0426,0.949,0.883,0.115,0.22,108.504,audio_features,37cqsfs0gjmZp3LaSmroSA,spotify:track:37cqsfs0gjmZp3LaSmroSA,https://api.spotify.com/v1/tracks/37cqsfs0gjmZp3LaSmroSA,https://api.spotify.com/v1/audio-analysis/37cqsfs0gjmZp3LaSmroSA,211122,4,1999,acoustic
28,0.649,0.58,5,-9.334,0,0.028,0.233,0.000736,0.115,0.846,110.45,audio_features,5rdgdO6VJa1Jv5hkyxFlib,spotify:track:5rdgdO6VJa1Jv5hkyxFlib,https://api.spotify.com/v1/tracks/5rdgdO6VJa1Jv5hkyxFlib,https://api.spotify.com/v1/audio-analysis/5rdgdO6VJa1Jv5hkyxFlib,193800,4,1999,acoustic
29,0.599,0.655,9,-9.721,1,0.0816,0.142,0.0,0.082,0.886,83.112,audio_features,27hueEQy24FMczgBRKER9Q,spotify:track:27hueEQy24FMczgBRKER9Q,https://api.spotify.com/v1/tracks/27hueEQy24FMczgBRKER9Q,https://api.spotify.com/v1/audio-analysis/27hueEQy24FMczgBRKER9Q,229960,4,1999,acoustic
30,0.62,0.392,7,-13.493,0,0.031,0.727,0.0527,0.108,0.67,97.556,audio_features,5oHnhH35rKmRqVms9UbjOm,spotify:track:5oHnhH35rKmRqVms9UbjOm,https://api.spotify.com/v1/tracks/5oHnhH35rKmRqVms9UbjOm,https://api.spotify.com/v1/audio-analysis/5oHnhH35rKmRqVms9UbjOm,228533,4,1999,acoustic
31,0.608,0.84,10,-5.738,0,0.0799,0.216,0.000351,0.559,0.705,124.423,audio_features,2lLsxW07QzVfneL7Ov2bIT,spotify:track:2lLsxW07QzVfneL7Ov2bIT,https://api.spotify.com/v1/tracks/2lLsxW07QzVfneL7Ov2bIT,https://api.spotify.com/v1/audio-analysis/2lLsxW07QzVfneL7Ov2bIT,302640,4,1999,acoustic
32,0.542,0.467,9,-6.731,1,0.0342,0.392,1.46e-06,0.244,0.159,113.808,audio_features,1iRRg3BVfJc2NoxtD6Yf5r,spotify:track:1iRRg3BVfJc2NoxtD6Yf5r,https://api.spotify.com/v1/tracks/1iRRg3BVfJc2NoxtD6Yf5r,https://api.spotify.com/v1/audio-analysis/1iRRg3BVfJc2NoxtD6Yf5r,361133,3,1999,acoustic
33,0.431,0.42,7,-10.377,0,0.0261,0.82,0.0286,0.102,0.0824,89.414,audio_features,4iJgZQ3FO2HaMdaZeeqUN1,spotify:track:4iJgZQ3FO2HaMdaZeeqUN1,https://api.spotify.com/v1/tracks/4iJgZQ3FO2HaMdaZeeqUN1,https://api.spotify.com/v1/audio-analysis/4iJgZQ3FO2HaMdaZeeqUN1,199813,4,1999,acoustic
34,0.426,0.372,11,-14.108,1,0.0287,0.673,0.194,0.104,0.346,91.525,audio_features,1PxodmfpSnYCqbI0J3WVfX,spotify:track:1PxodmfpSnYCqbI0J3WVfX,https://api.spotify.com/v1/tracks/1PxodmfpSnYCqbI0J3WVfX,https://api.spotify.com/v1/audio-analysis/1PxodmfpSnYCqbI0J3WVfX,213307,3,1999,acoustic
35,0.436,0.554,5,-10.041,1,0.0429,0.0539,0.885,0.111,0.459,151.118,audio_features,2x6sAQFBhY5eqp0yqA0vBD,spotify:track:2x6sAQFBhY5eqp0yqA0vBD,https://api.spotify.com/v1/tracks/2x6sAQFBhY5eqp0yqA0vBD,https://api.spotify.com/v1/audio-analysis/2x6sAQFBhY5eqp0yqA0vBD,419173,3,1999,acoustic
36,0.397,0.253,0,-14.633,1,0.0294,0.778,0.129,0.0735,0.0959,109.296,audio_features,4N4ak2aF9eCMjOvLje0Jut,spotify:track:4N4ak2aF9eCMjOvLje0Jut,https://api.spotify.com/v1/tracks/4N4ak2aF9eCMjOvLje0Jut,https://api.spotify.com/v1/audio-analysis/4N4ak2aF9eCMjOvLje0Jut,326893,3,1999,acoustic
37,0.116,0.85,10,-7.563,1,0.0739,0.166,0.298,0.212,0.176,61.997,audio_features,71l9rGGMijke8BYRpkOjs1,spotify:track:71l9rGGMijke8BYRpkOjs1,https://api.spotify.com/v1/tracks/71l9rGGMijke8BYRpkOjs1,https://api.spotify.com/v1/audio-analysis/71l9rGGMijke8BYRpkOjs1,241133,4,1999,acoustic
38,0.434,0.254,8,-17.522,1,0.036,0.899,0.889,0.0855,0.327,176.398,audio_features,6LmvspNZsfDeTR5pJQWSvG,spotify:track:6LmvspNZsfDeTR5pJQWSvG,https://api.spotify.com/v1/tracks/6LmvspNZsfDeTR5pJQWSvG,https://api.spotify.com/v1/audio-analysis/6LmvspNZsfDeTR5pJQWSvG,173067,3,1999,acoustic
39,0.631,0.108,6,-23.764,1,0.867,0.908,0.0,0.902,0.367,64.713,audio_features,4NQKArbOy5gvTrMqByOHj0,spotify:track:4NQKArbOy5gvTrMqByOHj0,https://api.spotify.com/v1/tracks/4NQKArbOy5gvTrMqByOHj0,https://api.spotify.com/v1/audio-analysis/4NQKArbOy5gvTrMqByOHj0,75600,3,1999,acoustic
40,0.635,0.673,2,-8.964,1,0.0437,0.0869,0.0,0.323,0.94,79.749,audio_features,0n6JPooe4SZFrDXk202juN,spotify:track:0n6JPooe4SZFrDXk202juN,https://api.spotify.com/v1/tracks/0n6JPooe4SZFrDXk202juN,https://api.spotify.com/v1/audio-analysis/0n6JPooe4SZFrDXk202juN,179440,4,1999,acoustic
41,0.617,0.924,4,-7.537,1,0.0514,0.116,0.0,0.0378,0.944,112.167,audio_features,4xqeER3Z6DuNjzp9zZ5svm,spotify:track:4xqeER3Z6DuNjzp9zZ5svm,https://api.spotify.com/v1/tracks/4xqeER3Z6DuNjzp9zZ5svm,https://api.spotify.com/v1/audio-analysis/4xqeER3Z6DuNjzp9zZ5svm,276400,4,1999,acoustic
42,0.57,0.207,5,-12.317,0,0.0744,0.821,0.0,0.106,0.581,146.886,audio_features,5Msi6Z4xZ86nd3JB1PnW8G,spotify:track:5Msi6Z4xZ86nd3JB1PnW8G,https://api.spotify.com/v1/tracks/5Msi6Z4xZ86nd3JB1PnW8G,https://api.spotify.com/v1/audio-analysis/5Msi6Z4xZ86nd3JB1PnW8G,279067,3,1999,acoustic
43,0.498,0.815,9,-8.105,1,0.0293,0.152,0.0,0.0683,0.76,103.961,audio_features,3zzMAKyG2jYwuArlgAp6JV,spotify:track:3zzMAKyG2jYwuArlgAp6JV,https://api.spotify.com/v1/tracks/3zzMAKyG2jYwuArlgAp6JV,https://api.spotify.com/v1/audio-analysis/3zzMAKyG2jYwuArlgAp6JV,354160,4,1999,acoustic
44,0.61,0.348,0,-13.142,0,0.0298,0.782,0.00306,0.0951,0.258,89.264,audio_features,7jXyECeXzSlSVJ3neS9xZH,spotify:track:7jXyECeXzSlSVJ3neS9xZH,https://api.spotify.com/v1/tracks/7jXyECeXzSlSVJ3neS9xZH,https://api.spotify.com/v1/audio-analysis/7jXyECeXzSlSVJ3neS9xZH,118573,4,1999,acoustic
45,0.546,0.0376,1,-28.783,1,0.463,0.828,0.0,0.221,0.556,78.046,audio_features,4JFQEJKO6YpHRKRjkOyKkb,spotify:track:4JFQEJKO6YpHRKRjkOyKkb,https://api.spotify.com/v1/tracks/4JFQEJKO6YpHRKRjkOyKkb,https://api.spotify.com/v1/audio-analysis/4JFQEJKO6YpHRKRjkOyKkb,52093,4,1999,acoustic
46,0.486,0.734,4,-4.489,1,0.0343,0.141,0.0,0.366,0.33,141.04,audio_features,0hTKNFYsCBjaHkJRihnNr9,spotify:track:0hTKNFYsCBjaHkJRihnNr9,https://api.spotify.com/v1/tracks/0hTKNFYsCBjaHkJRihnNr9,https://api.spotify.com/v1/audio-analysis/0hTKNFYsCBjaHkJRihnNr9,224893,3,1999,acoustic
47,0.33,0.323,11,-17.231,1,0.0358,0.886,0.869,0.237,0.908,102.166,audio_features,09GxqdK83fzKsipxt4PVFA,spotify:track:09GxqdK83fzKsipxt4PVFA,https://api.spotify.com/v1/tracks/09GxqdK83fzKsipxt4PVFA,https://api.spotify.com/v1/audio-analysis/09GxqdK83fzKsipxt4PVFA,135040,4,1999,acoustic
48,0.505,0.838,2,-4.36,1,0.0357,0.172,8.53e-06,0.0569,0.525,160.061,audio_features,2DCqBr10Yx9UoWZU7LLmvc,spotify:track:2DCqBr10Yx9UoWZU7LLmvc,https://api.spotify.com/v1/tracks/2DCqBr10Yx9UoWZU7LLmvc,https://api.spotify.com/v1/audio-analysis/2DCqBr10Yx9UoWZU7LLmvc,332800,4,1999,acoustic
49,0.689,0.0783,9,-23.226,1,0.787,0.914,0.0,0.699,0.47,84.627,audio_features,1TLDfdeCe1p9U28N6VMQYf,spotify:track:1TLDfdeCe1p9U28N6VMQYf,https://api.spotify.com/v1/tracks/1TLDfdeCe1p9U28N6VMQYf,https://api.spotify.com/v1/audio-analysis/1TLDfdeCe1p9U28N6VMQYf,51467,1,1999,acoustic
400,0.855,0.691,2,-6.51,1,0.0514,0.144,0.0,0.36,0.647,121.472,audio_features,1cU34sZG9kF4FYHCoAD0Ib,spotify:track:1cU34sZG9kF4FYHCoAD0Ib,https://api.spotify.com/v1/tracks/1cU34sZG9kF4FYHCoAD0Ib,https://api.spotify.com/v1/audio-analysis/1cU34sZG9kF4FYHCoAD0Ib,202733,4,1999,blues
401,0.609,0.923,9,-3.908,1,0.0338,0.16,4.73e-06,0.295,0.961,115.996,audio_features,0n2SEXB2qoRQg171q7XqeW,spotify:track:0n2SEXB2qoRQg171q7XqeW,https://api.spotify.com/v1/tracks/0n2SEXB2qoRQg171q7XqeW,https://api.spotify.com/v1/audio-analysis/0n2SEXB2qoRQg171q7XqeW,294987,4,1999,blues
402,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,audio_features,3XKIUb7HzIF1Vu9usunMzc,spotify:track:3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/tracks/3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/audio-analysis/3XKIUb7HzIF1Vu9usunMzc,261973,4,1999,blues
403,0.609,0.923,9,-3.908,1,0.0338,0.16,4.73e-06,0.295,0.961,115.996,audio_features,2pX4FpOgwItRVPPUFdRcxA,spotify:track:2pX4FpOgwItRVPPUFdRcxA,https://api.spotify.com/v1/tracks/2pX4FpOgwItRVPPUFdRcxA,https://api.spotify.com/v1/audio-analysis/2pX4FpOgwItRVPPUFdRcxA,294987,4,1999,blues
404,0.721,0.558,9,-8.8,1,0.0246,0.492,0.00563,0.113,0.542,96.887,audio_features,6BQNJ0JFKh8sWjQLI6Zudi,spotify:track:6BQNJ0JFKh8sWjQLI6Zudi,https://api.spotify.com/v1/tracks/6BQNJ0JFKh8sWjQLI6Zudi,https://api.spotify.com/v1/audio-analysis/6BQNJ0JFKh8sWjQLI6Zudi,234867,4,1999,blues
405,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,audio_features,567UAkWoLBqZ709s3Qcbze,spotify:track:567UAkWoLBqZ709s3Qcbze,https://api.spotify.com/v1/tracks/567UAkWoLBqZ709s3Qcbze,https://api.spotify.com/v1/audio-analysis/567UAkWoLBqZ709s3Qcbze,261973,4,1999,blues
406,0.339,0.583,7,-8.582,1,0.0338,0.0497,0.00108,0.165,0.379,101.449,audio_features,2XhBBZ3vxsR57OwkNn5hQc,spotify:track:2XhBBZ3vxsR57OwkNn5hQc,https://api.spotify.com/v1/tracks/2XhBBZ3vxsR57OwkNn5hQc,https://api.spotify.com/v1/audio-analysis/2XhBBZ3vxsR57OwkNn5hQc,599560,4,1999,blues
407,0.619,0.271,0,-10.129,1,0.102,0.852,0.0,0.327,0.681,158.866,audio_features,1ZWoj485L6n4QRN0ahm5iY,spotify:track:1ZWoj485L6n4QRN0ahm5iY,https://api.spotify.com/v1/tracks/1ZWoj485L6n4QRN0ahm5iY,https://api.spotify.com/v1/audio-analysis/1ZWoj485L6n4QRN0ahm5iY,188627,3,1999,blues
408,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,audio_features,7utRJ4BeYx85khzP3lKoBX,spotify:track:7utRJ4BeYx85khzP3lKoBX,https://api.spotify.com/v1/tracks/7utRJ4BeYx85khzP3lKoBX,https://api.spotify.com/v1/audio-analysis/7utRJ4BeYx85khzP3lKoBX,271760,4,1999,blues
409,0.536,0.571,0,-6.879,1,0.0278,0.355,0.0,0.0595,0.397,126.909,audio_features,3gDtrR0W8CmkyS6mweesSS,spotify:track:3gDtrR0W8CmkyS6mweesSS,https://api.spotify.com/v1/tracks/3gDtrR0W8CmkyS6mweesSS,https://api.spotify.com/v1/audio-analysis/3gDtrR0W8CmkyS6mweesSS,280933,4,1999,blues
410,0.76,0.765,0,-9.319,1,0.0352,0.289,7.95e-06,0.233,0.868,107.602,audio_features,5E2EpolcGmcbYpsv0z6jAZ,spotify:track:5E2EpolcGmcbYpsv0z6jAZ,https://api.spotify.com/v1/tracks/5E2EpolcGmcbYpsv0z6jAZ,https://api.spotify.com/v1/audio-analysis/5E2EpolcGmcbYpsv0z6jAZ,226933,4,1999,blues
411,0.699,0.574,10,-6.96,1,0.0519,0.715,0.0,0.173,0.912,126.56,audio_features,7rUPIW0pQoshbOtysdlWX2,spotify:track:7rUPIW0pQoshbOtysdlWX2,https://api.spotify.com/v1/tracks/7rUPIW0pQoshbOtysdlWX2,https://api.spotify.com/v1/audio-analysis/7rUPIW0pQoshbOtysdlWX2,172187,4,1999,blues
412,0.606,0.834,7,-6.101,1,0.0369,0.0155,0.0244,0.133,0.459,143.681,audio_features,3uRaD26t3RkJ8n549udQ83,spotify:track:3uRaD26t3RkJ8n549udQ83,https://api.spotify.com/v1/tracks/3uRaD26t3RkJ8n549udQ83,https://api.spotify.com/v1/audio-analysis/3uRaD26t3RkJ8n549udQ83,287493,4,1999,blues
413,0.51,0.389,2,-14.317,0,0.0384,0.286,0.000398,0.644,0.621,94.04,audio_features,6YEOmCsXSk9ZPE0FkcCiuQ,spotify:track:6YEOmCsXSk9ZPE0FkcCiuQ,https://api.spotify.com/v1/tracks/6YEOmCsXSk9ZPE0FkcCiuQ,https://api.spotify.com/v1/audio-analysis/6YEOmCsXSk9ZPE0FkcCiuQ,260440,4,1999,blues
414,0.719,0.292,1,-10.683,1,0.0497,0.603,0.31,0.0487,0.84,154.913,audio_features,7otAeqNqEawppvL0Cr7qCd,spotify:track:7otAeqNqEawppvL0Cr7qCd,https://api.spotify.com/v1/tracks/7otAeqNqEawppvL0Cr7qCd,https://api.spotify.com/v1/audio-analysis/7otAeqNqEawppvL0Cr7qCd,152533,4,1999,blues
415,0.56,0.743,10,-8.71,1,0.0422,0.304,0.000204,0.108,0.463,168.196,audio_features,6JNVCUi0TUeNFVLvyXFJfN,spotify:track:6JNVCUi0TUeNFVLvyXFJfN,https://api.spotify.com/v1/tracks/6JNVCUi0TUeNFVLvyXFJfN,https://api.spotify.com/v1/audio-analysis/6JNVCUi0TUeNFVLvyXFJfN,264440,4,1999,blues
416,0.405,0.6,7,-5.599,1,0.0254,0.00472,2.27e-06,0.29,0.399,92.815,audio_features,61SdG3F3LncuuMLAS8oN6j,spotify:track:61SdG3F3LncuuMLAS8oN6j,https://api.spotify.com/v1/tracks/61SdG3F3LncuuMLAS8oN6j,https://api.spotify.com/v1/audio-analysis/61SdG3F3LncuuMLAS8oN6j,330307,4,1999,blues
417,0.852,0.909,0,-4.542,1,0.0819,0.157,3.91e-05,0.0881,0.66,108.019,audio_features,5lG0xtobUSiOT2mfJHqtxv,spotify:track:5lG0xtobUSiOT2mfJHqtxv,https://api.spotify.com/v1/tracks/5lG0xtobUSiOT2mfJHqtxv,https://api.spotify.com/v1/audio-analysis/5lG0xtobUSiOT2mfJHqtxv,253173,4,1999,blues
418,0.585,0.857,5,-4.409,0,0.0393,0.58,0.601,0.215,0.624,118.861,audio_features,0ujFmyKkSXQnlVMBz4plMM,spotify:track:0ujFmyKkSXQnlVMBz4plMM,https://api.spotify.com/v1/tracks/0ujFmyKkSXQnlVMBz4plMM,https://api.spotify.com/v1/audio-analysis/0ujFmyKkSXQnlVMBz4plMM,144267,4,1999,blues
419,0.397,0.773,7,-5.931,0,0.0456,0.322,0.553,0.27,0.844,93.148,audio_features,7qtpPSLeZMGv0vrCZu5kxu,spotify:track:7qtpPSLeZMGv0vrCZu5kxu,https://api.spotify.com/v1/tracks/7qtpPSLeZMGv0vrCZu5kxu,https://api.spotify.com/v1/audio-analysis/7qtpPSLeZMGv0vrCZu5kxu,347640,4,1999,blues
420,0.458,0.301,2,-11.959,0,0.0796,0.685,9.39e-05,0.0995,0.178,68.526,audio_features,289EFKMcZghPHBmVBZ8PqB,spotify:track:289EFKMcZghPHBmVBZ8PqB,https://api.spotify.com/v1/tracks/289EFKMcZghPHBmVBZ8PqB,https://api.spotify.com/v1/audio-analysis/289EFKMcZghPHBmVBZ8PqB,360600,3,1999,blues
