danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.465,0.919,4,-4.025,1,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,235293,4
0.419,0.814,0,-5.738,1,0.402,0.454,0.00177,0.527,0.345,132.638,244840,4
0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,183533,4
0.479,0.822,4,-6.412,0,0.0444,0.00434,4.76e-06,0.0843,0.562,130.035,255720,4
0.411,0.383,9,-10.256,1,0.0307,0.674,0.00537,0.0776,0.446,84.97,205760,4
0.497,0.13,6,-15.571,1,0.0436,0.841,0.0,0.111,0.179,130.769,181136,3
0.678,0.713,8,-6.451,1,0.0487,0.00136,0.865,0.0837,0.19,127.993,330000,4
0.562,0.729,5,-5.37,1,0.025,0.0205,0.000539,0.115,0.461,79.963,262339,4
0.56,0.825,11,-3.862,1,0.0379,0.323,0.0,0.161,0.268,94.931,237493,4
0.45,0.0437,10,-29.46,1,0.0374,0.971,0.88,0.0948,0.0988,63.938,289693,4
0.655,0.31,0,-13.4,1,0.0866,0.573,0.0,0.119,0.665,121.999,353267,4
0.436,0.591,11,-5.465,0,0.0289,0.0935,0.0408,0.0902,0.108,79.975,350641,4
0.227,0.0227,11,-29.761,1,0.0432,0.988,0.909,0.103,0.04,84.99,498867,4
0.652,0.748,0,-5.242,1,0.0887,0.0849,0.0,0.604,0.652,94.1,267413,4
0.559,0.67,7,-4.985,1,0.0474,0.592,0.000184,0.171,0.438,78.957,221895,4
0.724,0.786,7,-9.393,1,0.0483,0.0138,0.85,0.111,0.0382,109.996,424500,4
0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,218933,3
0.563,0.688,7,-4.474,1,0.0262,0.0763,0.0,0.0863,0.622,108.008,202347,4
0.41,0.306,4,-9.704,0,0.0348,0.472,3.28e-05,0.12,0.166,141.565,326206,4
0.531,0.843,9,-2.569,0,0.0429,0.0909,0.0,0.0283,0.392,136.991,240133,4
0.295,0.789,1,-5.559,1,0.0702,0.000166,0.0898,0.0986,0.515,104.135,178960,4
0.663,0.53,10,-9.199,0,0.0275,0.613,0.906,0.109,0.631,103.779,152400,4
0.52,0.981,2,-2.75,1,0.0906,0.000867,0.00177,0.197,0.633,158.937,240572,4
0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,4
0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4
0.606,0.349,4,-13.967,1,0.0319,0.764,0.306,0.112,0.156,80.071,203870,4
0.424,0.789,7,-6.174,1,0.0374,0.00399,0.564,0.0802,0.0944,111.216,338896,4
0.304,0.994,7,-2.838,1,0.482,0.178,0.000689,0.462,0.054,177.989,226517,4
0.339,0.0937,2,-20.267,1,0.0394,0.931,0.293,0.252,0.458,123.048,167640,3
0.592,0.304,8,-9.833,1,0.0298,0.564,0.0,0.107,0.307,114.72,254027,3
0.635,0.926,0,-5.589,1,0.151,0.0893,4.53e-06,0.0928,0.761,100.048,189840,4
0.494,0.016,10,-32.307,1,0.0426,0.995,0.922,0.136,0.118,98.224,295840,4
0.641,0.336,4,-17.086,1,0.0263,0.679,0.385,0.728,0.547,100.098,524187,4
0.394,0.654,3,-8.243,1,0.0346,0.0404,6.96e-05,0.112,0.264,135.188,239881,4
0.312,0.971,8,-9.5,1,0.0622,0.0117,0.00355,0.711,0.269,121.285,250093,4
0.384,0.125,10,-22.4,1,0.0315,0.987,0.929,0.112,0.369,80.185,120741,1
0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,216933,4
0.498,0.708,0,-10.195,1,0.134,0.682,0.904,0.264,0.746,175.295,208800,4
0.596,0.834,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,116.0,205200,4
0.312,0.00641,5,-26.725,1,0.0407,0.937,0.957,0.11,0.175,100.778,133208,4
0.542,0.987,9,-5.488,1,0.0392,0.000459,0.252,0.129,0.368,139.988,193773,4
0.692,0.736,1,-5.109,1,0.11,0.0324,0.0,0.0787,0.217,73.987,276560,4
0.239,0.969,11,-3.547,0,0.27,0.0224,9.24e-05,0.452,0.245,93.565,183782,4
0.862,0.467,0,-7.831,1,0.0653,0.642,0.0,0.089,0.904,133.012,207227,4
0.567,0.944,6,-7.22,0,0.0442,0.0244,0.0666,0.106,0.825,137.956,230742,4
0.579,0.989,5,-5.035,0,0.135,0.0128,0.794,0.73,0.0759,137.015,312960,4
0.266,0.0283,2,-27.499,1,0.0522,0.993,0.913,0.0918,0.468,140.499,178958,4
0.25,0.0101,5,-28.571,0,0.04,0.993,0.936,0.102,0.0705,205.921,170240,4
0.44,0.998,5,-1.931,0,0.161,0.00462,7.52e-06,0.235,0.181,149.116,169267,4
0.493,0.00306,2,-30.602,1,0.177,0.994,0.873,0.0903,0.499,168.348,182320,1
0.694,0.0919,0,-11.955,1,0.036,0.593,0.0,0.148,0.26,104.986,249493,4
0.289,0.934,2,-5.064,1,0.0574,0.0758,0.000712,0.279,0.846,155.02,134667,4
0.674,0.608,8,-6.628,0,0.0334,0.0119,0.0,0.103,0.464,124.952,253440,4
0.666,0.978,11,-5.118,0,0.0925,0.0149,0.0444,0.222,0.63,139.991,191843,4
0.793,0.339,5,-14.317,1,0.0555,0.166,0.809,0.11,0.266,125.993,346240,4
0.619,0.623,11,-6.33,1,0.0328,0.455,0.0,0.167,0.309,76.037,246947,4
0.207,0.973,4,-3.21,0,0.185,0.00083,0.0158,0.318,0.364,180.683,200600,4
0.407,0.896,4,-2.652,1,0.0576,0.00121,0.137,0.311,0.196,120.28,232180,4
0.51,0.134,0,-15.982,1,0.0307,0.895,0.00692,0.0787,0.134,110.962,286400,4
0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985,204014,4
0.286,0.427,0,-6.547,1,0.042,0.688,0.0,0.146,0.404,79.303,177567,4
0.494,0.437,11,-9.18,1,0.0265,0.15,0.0,0.109,0.304,133.879,289560,4
0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,201933,3
0.654,0.737,5,-4.682,0,0.048,0.126,0.0,0.16,0.454,102.008,228235,4
0.414,0.936,2,-2.407,1,0.0758,0.00136,0.0,0.369,0.74,170.229,242413,4
0.44,0.191,7,-10.179,1,0.03,0.916,0.0,0.1,0.154,74.893,291387,3
0.167,0.66,7,-8.315,1,0.0539,0.14,0.165,0.133,0.422,186.142,217547,4
0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4
0.337,0.143,8,-15.142,1,0.0425,0.993,0.903,0.1,0.038,70.326,279413,4
0.33,0.00274,2,-37.342,0,0.0617,0.992,0.908,0.0668,0.188,61.088,143532,4
0.486,0.488,11,-5.089,1,0.0377,0.832,0.0,0.0854,0.534,94.25,146457,4
0.498,0.12,0,-17.721,1,0.0487,0.851,0.0,0.171,0.338,121.187,232500,4
0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,205453,4
0.385,0.425,2,-6.144,1,0.0305,0.715,0.0,0.131,0.53,126.162,232066,4
0.622,0.805,5,-6.618,1,0.202,0.274,0.000105,0.113,0.771,89.981,177613,4
0.303,0.129,6,-15.069,1,0.0301,0.89,0.00776,0.123,0.155,84.167,118933,4
0.563,0.75,11,-4.496,1,0.127,0.113,0.0,0.0788,0.812,173.906,222920,4
0.516,0.78,8,-4.004,0,0.0364,0.00136,0.000715,0.11,0.899,116.794,235587,4
0.621,0.977,6,-5.028,0,0.0592,0.00142,0.854,0.053,0.369,125.992,389643,4
0.53,0.524,4,-5.751,1,0.0327,0.544,0.0,0.11,0.514,150.05,179214,4
