danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
0.386,0.452,2,-7.715,1,0.0278,0.417,0,0.0881,0.287,169.837,audio_features,5auMzVHFr5Zfw6IbKarZ56,spotify:track:5auMzVHFr5Zfw6IbKarZ56,https://api.spotify.com/v1/tracks/5auMzVHFr5Zfw6IbKarZ56,https://api.spotify.com/v1/audio-analysis/5auMzVHFr5Zfw6IbKarZ56,279827,3,2005,acoustic
0.404,0.571,0,-5.069,1,0.0303,0.182,2.08e-05,0.129,0.29,147.01,audio_features,2WZyfujzMweFLnozyUJBkW,spotify:track:2WZyfujzMweFLnozyUJBkW,https://api.spotify.com/v1/tracks/2WZyfujzMweFLnozyUJBkW,https://api.spotify.com/v1/audio-analysis/2WZyfujzMweFLnozyUJBkW,245933,4,2005,acoustic
0.587,0.767,0,-5.713,1,0.0449,0.225,0,0.112,0.664,100.38,audio_features,5p9XWUdvbUzmPCukOmwoU3,spotify:track:5p9XWUdvbUzmPCukOmwoU3,https://api.spotify.com/v1/tracks/5p9XWUdvbUzmPCukOmwoU3,https://api.spotify.com/v1/audio-analysis/5p9XWUdvbUzmPCukOmwoU3,201707,4,2005,acoustic
0.748,0.786,4,-7.788,0,0.0641,0.328,0,0.34,0.917,104.833,audio_features,0qAMjeQFyd1qD0LDiV8gWp,spotify:track:0qAMjeQFyd1qD0LDiV8gWp,https://api.spotify.com/v1/tracks/0qAMjeQFyd1qD0LDiV8gWp,https://api.spotify.com/v1/audio-analysis/0qAMjeQFyd1qD0LDiV8gWp,172373,4,2005,acoustic
0.435,0.729,1,-4.818,0,0.0307,0.0152,2.63e-05,0.11,0.524,188.017,audio_features,02acUMylPHMjJ9miDc9b38,spotify:track:02acUMylPHMjJ9miDc9b38,https://api.spotify.com/v1/tracks/02acUMylPHMjJ9miDc9b38,https://api.spotify.com/v1/audio-analysis/02acUMylPHMjJ9miDc9b38,256600,4,2005,acoustic
0.652,0.707,4,-4.552,1,0.0297,0.000122,2.78e-06,0.485,0.656,121.998,audio_features,0nDvTmQlCcJMIIrAzdy7z3,spotify:track:0nDvTmQlCcJMIIrAzdy7z3,https://api.spotify.com/v1/tracks/0nDvTmQlCcJMIIrAzdy7z3,https://api.spotify.com/v1/audio-analysis/0nDvTmQlCcJMIIrAzdy7z3,207493,4,2005,acoustic
0.54,0.0674,9,-13.778,1,0.0368,0.888,0.000382,0.109,0.12,141.988,audio_features,37pK088xTo1ZpR3y23wsFk,spotify:track:37pK088xTo1ZpR3y23wsFk,https://api.spotify.com/v1/tracks/37pK088xTo1ZpR3y23wsFk,https://api.spotify.com/v1/audio-analysis/37pK088xTo1ZpR3y23wsFk,251440,3,2005,acoustic
0.551,0.896,9,-3.152,0,0.109,0.033,0,0.0899,0.858,171.79,audio_features,4faFAhOflLzhfJECveRwva,spotify:track:4faFAhOflLzhfJECveRwva,https://api.spotify.com/v1/tracks/4faFAhOflLzhfJECveRwva,https://api.spotify.com/v1/audio-analysis/4faFAhOflLzhfJECveRwva,226640,4,2005,acoustic
0.633,0.886,1,-3.892,1,0.0456,0.109,0,0.0438,0.753,81.811,audio_features,20117nklRrpujknMRpueYQ,spotify:track:20117nklRrpujknMRpueYQ,https://api.spotify.com/v1/tracks/20117nklRrpujknMRpueYQ,https://api.spotify.com/v1/audio-analysis/20117nklRrpujknMRpueYQ,247827,4,2005,acoustic
0.681,0.168,7,-13.397,1,0.0291,0.793,0.000134,0.109,0.29,128.615,audio_features,72SPsHheqN6J3sI520jT9E,spotify:track:72SPsHheqN6J3sI520jT9E,https://api.spotify.com/v1/tracks/72SPsHheqN6J3sI520jT9E,https://api.spotify.com/v1/audio-analysis/72SPsHheqN6J3sI520jT9E,160453,4,2005,acoustic
