danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
0.606,0.415,7,-8.317,0,0.0475,0.695,0.00149,0.174,0.405,137.775,audio_features,3XnDbrxxtA40HPIIRWLgRT,spotify:track:3XnDbrxxtA40HPIIRWLgRT,https://api.spotify.com/v1/tracks/3XnDbrxxtA40HPIIRWLgRT,https://api.spotify.com/v1/audio-analysis/3XnDbrxxtA40HPIIRWLgRT,168713,4,2019,acoustic
0.651,0.86,7,-7.8,1,0.138,0.609,0.00646,0.0735,0.29,115.0,audio_features,0WSGIwIEqpfe3jGJ5fZsHr,spotify:track:0WSGIwIEqpfe3jGJ5fZsHr,https://api.spotify.com/v1/tracks/0WSGIwIEqpfe3jGJ5fZsHr,https://api.spotify.com/v1/audio-analysis/0WSGIwIEqpfe3jGJ5fZsHr,207763,4,2019,acoustic
0.567,0.224,1,-10.024,1,0.0299,0.887,0,0.109,0.2,124.44,audio_features,5sVyefkGgQeYCgnqr4KslQ,spotify:track:5sVyefkGgQeYCgnqr4KslQ,https://api.spotify.com/v1/tracks/5sVyefkGgQeYCgnqr4KslQ,https://api.spotify.com/v1/audio-analysis/5sVyefkGgQeYCgnqr4KslQ,231813,4,2019,acoustic
0.492,0.804,8,-5.053,1,0.078,0.0273,1.55e-06,0.071,0.574,159.956,audio_features,0tsUIJakq2RksuC1YixAHX,spotify:track:0tsUIJakq2RksuC1YixAHX,https://api.spotify.com/v1/tracks/0tsUIJakq2RksuC1YixAHX,https://api.spotify.com/v1/audio-analysis/0tsUIJakq2RksuC1YixAHX,196451,4,2019,acoustic
0.396,0.198,2,-9.096,1,0.031,0.912,0,0.0972,0.19,138.624,audio_features,5ZUObJNpVt2l9GogUSfALc,spotify:track:5ZUObJNpVt2l9GogUSfALc,https://api.spotify.com/v1/tracks/5ZUObJNpVt2l9GogUSfALc,https://api.spotify.com/v1/audio-analysis/5ZUObJNpVt2l9GogUSfALc,235587,3,2019,acoustic
0.532,0.854,1,-4.766,1,0.0886,0.0419,0,0.122,0.533,154.374,audio_features,1SVbYemhVlCGnpxUF3gyLH,spotify:track:1SVbYemhVlCGnpxUF3gyLH,https://api.spotify.com/v1/tracks/1SVbYemhVlCGnpxUF3gyLH,https://api.spotify.com/v1/audio-analysis/1SVbYemhVlCGnpxUF3gyLH,232133,4,2019,acoustic
0.66,0.449,7,-6.573,1,0.0442,0.209,0,0.111,0.237,133.984,audio_features,4P6g8wuXeR3wznFk7WnI4w,spotify:track:4P6g8wuXeR3wznFk7WnI4w,https://api.spotify.com/v1/tracks/4P6g8wuXeR3wznFk7WnI4w,https://api.spotify.com/v1/audio-analysis/4P6g8wuXeR3wznFk7WnI4w,180640,4,2019,acoustic
0.424,0.253,10,-13.259,1,0.0366,0.825,0,0.117,0.16,129.812,audio_features,55fyE9Q754QhXpmcLtmmam,spotify:track:55fyE9Q754QhXpmcLtmmam,https://api.spotify.com/v1/tracks/55fyE9Q754QhXpmcLtmmam,https://api.spotify.com/v1/audio-analysis/55fyE9Q754QhXpmcLtmmam,269210,3,2019,acoustic
0.322,0.213,10,-14.915,0,0.0318,0.611,0,0.113,0.16,160.389,audio_features,2z3HKlpENvfz1Am2MNF2pL,spotify:track:2z3HKlpENvfz1Am2MNF2pL,https://api.spotify.com/v1/tracks/2z3HKlpENvfz1Am2MNF2pL,https://api.spotify.com/v1/audio-analysis/2z3HKlpENvfz1Am2MNF2pL,199594,4,2019,acoustic
0.589,0.603,7,-5.517,1,0.042,0.165,0,0.0681,0.459,76.843,audio_features,7BsrEqUd6VSoaK2sUYSIY1,spotify:track:7BsrEqUd6VSoaK2sUYSIY1,https://api.spotify.com/v1/tracks/7BsrEqUd6VSoaK2sUYSIY1,https://api.spotify.com/v1/audio-analysis/7BsrEqUd6VSoaK2sUYSIY1,193867,4,2019,acoustic
0.61,0.919,7,-4.707,1,0.0469,0.00145,3.23e-05,0.192,0.495,111.998,audio_features,2ZSmbG7hYBy2ObB41JQ3WW,spotify:track:2ZSmbG7hYBy2ObB41JQ3WW,https://api.spotify.com/v1/tracks/2ZSmbG7hYBy2ObB41JQ3WW,https://api.spotify.com/v1/audio-analysis/2ZSmbG7hYBy2ObB41JQ3WW,184893,4,2019,acoustic
0.503,0.269,8,-7.676,1,0.0274,0.931,5.49e-05,0.111,0.317,101.913,audio_features,5xv9Shs68bVmUd9tiJSK8r,spotify:track:5xv9Shs68bVmUd9tiJSK8r,https://api.spotify.com/v1/tracks/5xv9Shs68bVmUd9tiJSK8r,https://api.spotify.com/v1/audio-analysis/5xv9Shs68bVmUd9tiJSK8r,263295,4,2019,acoustic
0.609,0.484,2,-7.94,1,0.0269,0.484,6.08e-05,0.0992,0.367,80.365,audio_features,3sC62j1Cjeea5tAhcyGcs8,spotify:track:3sC62j1Cjeea5tAhcyGcs8,https://api.spotify.com/v1/tracks/3sC62j1Cjeea5tAhcyGcs8,https://api.spotify.com/v1/audio-analysis/3sC62j1Cjeea5tAhcyGcs8,253395,4,2019,acoustic
0.543,0.324,0,-11.258,1,0.0316,0.452,2.81e-05,0.412,0.181,139.883,audio_features,3VIbZxc3oo1eAlb7tcRsG1,spotify:track:3VIbZxc3oo1eAlb7tcRsG1,https://api.spotify.com/v1/tracks/3VIbZxc3oo1eAlb7tcRsG1,https://api.spotify.com/v1/audio-analysis/3VIbZxc3oo1eAlb7tcRsG1,219364,4,2019,acoustic
0.424,0.791,9,-4.503,1,0.0436,0.00274,0,0.254,0.472,79.812,audio_features,4585IKfPMXI7CuX4TFa32k,spotify:track:4585IKfPMXI7CuX4TFa32k,https://api.spotify.com/v1/tracks/4585IKfPMXI7CuX4TFa32k,https://api.spotify.com/v1/audio-analysis/4585IKfPMXI7CuX4TFa32k,203360,4,2019,acoustic
