danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,audio_features,6Uy6K3KdmUdAfelUp0SeXn,spotify:track:6Uy6K3KdmUdAfelUp0SeXn,https://api.spotify.com/v1/tracks/6Uy6K3KdmUdAfelUp0SeXn,https://api.spotify.com/v1/audio-analysis/6Uy6K3KdmUdAfelUp0SeXn,220573,4,2013,acoustic
0.602,0.336,8,-11.106,1,0.0369,0.883,0.0017,0.143,0.335,90.894,audio_features,11TK5KLtLZUdKr1C549bAw,spotify:track:11TK5KLtLZUdKr1C549bAw,https://api.spotify.com/v1/tracks/11TK5KLtLZUdKr1C549bAw,https://api.spotify.com/v1/audio-analysis/11TK5KLtLZUdKr1C549bAw,172213,4,2013,acoustic
0.731,0.572,6,-7.889,0,0.0445,0.105,0.00012,0.133,0.947,154.038,audio_features,7jJH8F3PHlNvxfqEAAfFDl,spotify:track:7jJH8F3PHlNvxfqEAAfFDl,https://api.spotify.com/v1/tracks/7jJH8F3PHlNvxfqEAAfFDl,https://api.spotify.com/v1/audio-analysis/7jJH8F3PHlNvxfqEAAfFDl,218573,4,2013,acoustic
0.536,0.89,1,-5.222,1,0.0375,0.078,0.0202,0.131,0.273,121.974,audio_features,6xJOhSm4SvZwzy3uhWz26O,spotify:track:6xJOhSm4SvZwzy3uhWz26O,https://api.spotify.com/v1/tracks/6xJOhSm4SvZwzy3uhWz26O,https://api.spotify.com/v1/audio-analysis/6xJOhSm4SvZwzy3uhWz26O,286866,4,2013,acoustic
0.6,0.845,10,-7.076,1,0.0311,0.048,0,0.24,0.392,97.631,audio_features,0qJGlogD7AyMLAJfQ42aI2,spotify:track:0qJGlogD7AyMLAJfQ42aI2,https://api.spotify.com/v1/tracks/0qJGlogD7AyMLAJfQ42aI2,https://api.spotify.com/v1/audio-analysis/0qJGlogD7AyMLAJfQ42aI2,210612,4,2013,acoustic
0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,audio_features,2DHDuADAHoUW6n0z80RLQF,spotify:track:2DHDuADAHoUW6n0z80RLQF,https://api.spotify.com/v1/tracks/2DHDuADAHoUW6n0z80RLQF,https://api.spotify.com/v1/audio-analysis/2DHDuADAHoUW6n0z80RLQF,241119,4,2013,acoustic
0.57,0.662,8,-3.872,1,0.0363,0.0966,0,0.161,0.856,94.948,audio_features,3ktWkdvtG0CF0T2dEpek0H,spotify:track:3ktWkdvtG0CF0T2dEpek0H,https://api.spotify.com/v1/tracks/3ktWkdvtG0CF0T2dEpek0H,https://api.spotify.com/v1/audio-analysis/3ktWkdvtG0CF0T2dEpek0H,218368,4,2013,acoustic
0.213,0.185,4,-10.929,0,0.0327,0.757,8.54e-05,0.111,0.182,72.844,audio_features,5Jac5r26r1HkpH9Xv5zt7A,spotify:track:5Jac5r26r1HkpH9Xv5zt7A,https://api.spotify.com/v1/tracks/5Jac5r26r1HkpH9Xv5zt7A,https://api.spotify.com/v1/audio-analysis/5Jac5r26r1HkpH9Xv5zt7A,221787,5,2013,acoustic
0.592,0.304,8,-9.833,1,0.0298,0.564,0,0.107,0.307,114.72,audio_features,7wF4asYZw8cAHEljYd2Wid,spotify:track:7wF4asYZw8cAHEljYd2Wid,https://api.spotify.com/v1/tracks/7wF4asYZw8cAHEljYd2Wid,https://api.spotify.com/v1/audio-analysis/7wF4asYZw8cAHEljYd2Wid,254027,3,2013,acoustic
0.624,0.334,3,-11.89,1,0.0391,0.321,3.27e-06,0.113,0.397,157.92,audio_features,7Afr3PKTtlFGHGiXYgnv6P,spotify:track:7Afr3PKTtlFGHGiXYgnv6P,https://api.spotify.com/v1/tracks/7Afr3PKTtlFGHGiXYgnv6P,https://api.spotify.com/v1/audio-analysis/7Afr3PKTtlFGHGiXYgnv6P,138507,4,2013,acoustic
0.479,0.541,0,-9.862,1,0.0545,0.737,0,0.108,0.321,85.994,audio_features,2PIlBukQ6limukVR8Ubb5o,spotify:track:2PIlBukQ6limukVR8Ubb5o,https://api.spotify.com/v1/tracks/2PIlBukQ6limukVR8Ubb5o,https://api.spotify.com/v1/audio-analysis/2PIlBukQ6limukVR8Ubb5o,181400,4,2013,acoustic
0.337,0.341,4,-10.123,0,0.0348,0.854,7.63e-05,0.241,0.348,114.538,audio_features,1XTp9AoHDoCQMmMWH0ch8M,spotify:track:1XTp9AoHDoCQMmMWH0ch8M,https://api.spotify.com/v1/tracks/1XTp9AoHDoCQMmMWH0ch8M,https://api.spotify.com/v1/audio-analysis/1XTp9AoHDoCQMmMWH0ch8M,149000,4,2013,acoustic
0.547,0.932,7,-5.237,1,0.0966,0.00233,0,0.335,0.512,134.976,audio_features,2bN0VoXCagktb6yAi9942I,spotify:track:2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/tracks/2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/audio-analysis/2bN0VoXCagktb6yAi9942I,226200,4,2013,acoustic
