danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
0.629,0.174,6,-9.697,1,0.141,0.616,0,0.118,0.305,134.295,audio_features,2Dz5WpEWA0vhnMmEPYiZ2y,spotify:track:2Dz5WpEWA0vhnMmEPYiZ2y,https://api.spotify.com/v1/tracks/2Dz5WpEWA0vhnMmEPYiZ2y,https://api.spotify.com/v1/audio-analysis/2Dz5WpEWA0vhnMmEPYiZ2y,146067,1,2009,acoustic
0.59,0.416,11,-8.662,1,0.0374,0.77,0,0.109,0.526,124.893,audio_features,5IOmDUnTJwLQAuQnkPRCz5,spotify:track:5IOmDUnTJwLQAuQnkPRCz5,https://api.spotify.com/v1/tracks/5IOmDUnTJwLQAuQnkPRCz5,https://api.spotify.com/v1/audio-analysis/5IOmDUnTJwLQAuQnkPRCz5,200040,4,2009,acoustic
0.555,0.924,7,-4.93,1,0.0604,0.0159,0,0.075,0.865,87.606,audio_features,3LtwmK1OfN0dGs9jf3qSjn,spotify:track:3LtwmK1OfN0dGs9jf3qSjn,https://api.spotify.com/v1/tracks/3LtwmK1OfN0dGs9jf3qSjn,https://api.spotify.com/v1/audio-analysis/3LtwmK1OfN0dGs9jf3qSjn,280000,4,2009,acoustic
0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,audio_features,1KHdq8NK9QxnGjdXb55NiG,spotify:track:1KHdq8NK9QxnGjdXb55NiG,https://api.spotify.com/v1/tracks/1KHdq8NK9QxnGjdXb55NiG,https://api.spotify.com/v1/audio-analysis/1KHdq8NK9QxnGjdXb55NiG,244987,3,2009,acoustic
0.595,0.384,2,-12.114,1,0.0305,0.682,2.37e-06,0.0796,0.691,90.726,audio_features,0VDhK4DIjbsAHo1GDe9VfM,spotify:track:0VDhK4DIjbsAHo1GDe9VfM,https://api.spotify.com/v1/tracks/0VDhK4DIjbsAHo1GDe9VfM,https://api.spotify.com/v1/audio-analysis/0VDhK4DIjbsAHo1GDe9VfM,230773,4,2009,acoustic
0.573,0.905,10,-5.954,1,0.0343,0.0408,0,0.113,0.683,135.943,audio_features,7uPQU7uKvsZZ7T9XnpBpFg,spotify:track:7uPQU7uKvsZZ7T9XnpBpFg,https://api.spotify.com/v1/tracks/7uPQU7uKvsZZ7T9XnpBpFg,https://api.spotify.com/v1/audio-analysis/7uPQU7uKvsZZ7T9XnpBpFg,247800,4,2009,acoustic
0.622,0.702,9,-5.391,1,0.0524,0.446,0,0.101,0.611,78.513,audio_features,1XShVicocgCeGOxDAtHSAN,spotify:track:1XShVicocgCeGOxDAtHSAN,https://api.spotify.com/v1/tracks/1XShVicocgCeGOxDAtHSAN,https://api.spotify.com/v1/audio-analysis/1XShVicocgCeGOxDAtHSAN,239853,4,2009,acoustic
0.742,0.636,11,-6.744,1,0.0331,0.446,0,0.0817,0.48,95.002,audio_features,3SBzDgdTwHOMSik82ZI6L2,spotify:track:3SBzDgdTwHOMSik82ZI6L2,https://api.spotify.com/v1/tracks/3SBzDgdTwHOMSik82ZI6L2,https://api.spotify.com/v1/audio-analysis/3SBzDgdTwHOMSik82ZI6L2,208427,4,2009,acoustic
0.661,0.282,0,-10.727,1,0.0273,0.72,0,0.119,0.454,83.001,audio_features,4xIKuGa9RQpnDjO7rpww59,spotify:track:4xIKuGa9RQpnDjO7rpww59,https://api.spotify.com/v1/tracks/4xIKuGa9RQpnDjO7rpww59,https://api.spotify.com/v1/audio-analysis/4xIKuGa9RQpnDjO7rpww59,216693,1,2009,acoustic
0.405,0.591,6,-5.129,1,0.0339,0.0153,0,0.199,0.173,165.377,audio_features,46XMysg4VurmyAQ28tshqz,spotify:track:46XMysg4VurmyAQ28tshqz,https://api.spotify.com/v1/tracks/46XMysg4VurmyAQ28tshqz,https://api.spotify.com/v1/audio-analysis/46XMysg4VurmyAQ28tshqz,231453,4,2009,acoustic
