danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
0.555,0.934,9,-5.04,1,0.113,0.00268,0,0.122,0.422,144.874,audio_features,07m8PuXxxv5J4qPEDq6ZkK,spotify:track:07m8PuXxxv5J4qPEDq6ZkK,https://api.spotify.com/v1/tracks/07m8PuXxxv5J4qPEDq6ZkK,https://api.spotify.com/v1/audio-analysis/07m8PuXxxv5J4qPEDq6ZkK,243933,4,2015,acoustic
0.397,0.303,5,-7.508,1,0.0435,0.381,0,0.101,0.172,81.05,audio_features,2D4BSm5Z8Hq5zYbSgJwEOh,spotify:track:2D4BSm5Z8Hq5zYbSgJwEOh,https://api.spotify.com/v1/tracks/2D4BSm5Z8Hq5zYbSgJwEOh,https://api.spotify.com/v1/audio-analysis/2D4BSm5Z8Hq5zYbSgJwEOh,250267,4,2015,acoustic
0.616,0.282,1,-15.317,1,0.0331,0.983,0.833,0.13,0.435,96.638,audio_features,7x4b0UccXSKBWxWmjcrG2T,spotify:track:7x4b0UccXSKBWxWmjcrG2T,https://api.spotify.com/v1/tracks/7x4b0UccXSKBWxWmjcrG2T,https://api.spotify.com/v1/audio-analysis/7x4b0UccXSKBWxWmjcrG2T,124933,4,2015,acoustic
0.634,0.328,2,-13.939,1,0.132,0.868,0,0.119,0.88,91.772,audio_features,7s7KOxwTHHnVBmtphJKWRk,spotify:track:7s7KOxwTHHnVBmtphJKWRk,https://api.spotify.com/v1/tracks/7s7KOxwTHHnVBmtphJKWRk,https://api.spotify.com/v1/audio-analysis/7s7KOxwTHHnVBmtphJKWRk,121852,3,2015,acoustic
0.555,0.452,0,-9.636,1,0.0554,0.694,0,0.0595,0.321,179.921,audio_features,0KF5nzdiqZlxVK68MPITst,spotify:track:0KF5nzdiqZlxVK68MPITst,https://api.spotify.com/v1/tracks/0KF5nzdiqZlxVK68MPITst,https://api.spotify.com/v1/audio-analysis/0KF5nzdiqZlxVK68MPITst,256933,4,2015,acoustic
0.678,0.351,0,-8.654,1,0.0265,0.747,0,0.355,0.568,90.029,audio_features,210JCw2LbYD4YIs8GiZ9iP,spotify:track:210JCw2LbYD4YIs8GiZ9iP,https://api.spotify.com/v1/tracks/210JCw2LbYD4YIs8GiZ9iP,https://api.spotify.com/v1/audio-analysis/210JCw2LbYD4YIs8GiZ9iP,174174,4,2015,acoustic
0.65,0.755,8,-4.656,1,0.0259,0.00718,4.49e-06,0.311,0.287,108.006,audio_features,4xcArbiK3LzdpravfBkkRc,spotify:track:4xcArbiK3LzdpravfBkkRc,https://api.spotify.com/v1/tracks/4xcArbiK3LzdpravfBkkRc,https://api.spotify.com/v1/audio-analysis/4xcArbiK3LzdpravfBkkRc,204107,4,2015,acoustic
0.473,0.859,4,-5.948,1,0.0396,0.194,2.6e-06,0.161,0.787,75.824,audio_features,2yARskwKoNDTbL61y3qqjy,spotify:track:2yARskwKoNDTbL61y3qqjy,https://api.spotify.com/v1/tracks/2yARskwKoNDTbL61y3qqjy,https://api.spotify.com/v1/audio-analysis/2yARskwKoNDTbL61y3qqjy,215120,4,2015,acoustic
0.645,0.169,9,-15.744,1,0.0317,0.844,0.00019,0.109,0.178,167.826,audio_features,7K36drJq6lInkW6Kkojucp,spotify:track:7K36drJq6lInkW6Kkojucp,https://api.spotify.com/v1/tracks/7K36drJq6lInkW6Kkojucp,https://api.spotify.com/v1/audio-analysis/7K36drJq6lInkW6Kkojucp,158014,4,2015,acoustic
0.473,0.334,10,-6.785,1,0.0371,0.959,7.4e-05,0.28,0.412,117.441,audio_features,2fTsxw433lT9uYnIH3ihDU,spotify:track:2fTsxw433lT9uYnIH3ihDU,https://api.spotify.com/v1/tracks/2fTsxw433lT9uYnIH3ihDU,https://api.spotify.com/v1/audio-analysis/2fTsxw433lT9uYnIH3ihDU,198741,4,2015,acoustic
0.551,0.289,5,-9.83,1,0.0268,0.92,0.00011,0.124,0.432,108.098,audio_features,2LBhwMS0iYId8BWfNIiOuG,spotify:track:2LBhwMS0iYId8BWfNIiOuG,https://api.spotify.com/v1/tracks/2LBhwMS0iYId8BWfNIiOuG,https://api.spotify.com/v1/audio-analysis/2LBhwMS0iYId8BWfNIiOuG,260840,4,2015,acoustic
