danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
0.672,0.623,9,-5.699,1,0.0297,0.241,0,0.0848,0.617,92.018,audio_features,38YgZVHPWOWsKrsCXz6JyP,spotify:track:38YgZVHPWOWsKrsCXz6JyP,https://api.spotify.com/v1/tracks/38YgZVHPWOWsKrsCXz6JyP,https://api.spotify.com/v1/audio-analysis/38YgZVHPWOWsKrsCXz6JyP,215173,4,2007,acoustic
0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.055,audio_features,4E6cwWJWZw2zWf7VFbH7wf,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/tracks/4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/audio-analysis/4E6cwWJWZw2zWf7VFbH7wf,258827,4,2007,acoustic
0.27,0.275,0,-10.357,1,0.0356,0.834,0,0.146,0.231,168.964,audio_features,4oa14QBfWRDfJy2agySy0L,spotify:track:4oa14QBfWRDfJy2agySy0L,https://api.spotify.com/v1/tracks/4oa14QBfWRDfJy2agySy0L,https://api.spotify.com/v1/audio-analysis/4oa14QBfWRDfJy2agySy0L,232760,4,2007,acoustic
0.544,0.5,11,-8.253,1,0.026,0.0325,3.78e-06,0.109,0.177,93.621,audio_features,0EKBV6GybPtALXUgWqWrym,spotify:track:0EKBV6GybPtALXUgWqWrym,https://api.spotify.com/v1/tracks/0EKBV6GybPtALXUgWqWrym,https://api.spotify.com/v1/audio-analysis/0EKBV6GybPtALXUgWqWrym,238493,4,2007,acoustic
0.492,0.611,0,-6.438,1,0.102,0.193,0,0.691,0.933,182.529,audio_features,6bfPo8Ge3VoD4dEGSDs0R9,spotify:track:6bfPo8Ge3VoD4dEGSDs0R9,https://api.spotify.com/v1/tracks/6bfPo8Ge3VoD4dEGSDs0R9,https://api.spotify.com/v1/audio-analysis/6bfPo8Ge3VoD4dEGSDs0R9,74960,4,2007,acoustic
0.163,0.616,9,-9.996,1,0.044,0.0286,0,0.0826,0.33,81.993,audio_features,6j6bTAiW0oEfLlAjmRNcbb,spotify:track:6j6bTAiW0oEfLlAjmRNcbb,https://api.spotify.com/v1/tracks/6j6bTAiW0oEfLlAjmRNcbb,https://api.spotify.com/v1/audio-analysis/6j6bTAiW0oEfLlAjmRNcbb,224720,4,2007,acoustic
0.438,0.827,8,-6.531,1,0.0328,0.0512,0.000402,0.319,0.645,143.377,audio_features,0fzCtVM9D5UEwiLqcY8Ouq,spotify:track:0fzCtVM9D5UEwiLqcY8Ouq,https://api.spotify.com/v1/tracks/0fzCtVM9D5UEwiLqcY8Ouq,https://api.spotify.com/v1/audio-analysis/0fzCtVM9D5UEwiLqcY8Ouq,322080,4,2007,acoustic
0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,audio_features,3bHhUEOTIbezeZ856R0BX5,spotify:track:3bHhUEOTIbezeZ856R0BX5,https://api.spotify.com/v1/tracks/3bHhUEOTIbezeZ856R0BX5,https://api.spotify.com/v1/audio-analysis/3bHhUEOTIbezeZ856R0BX5,236307,4,2007,acoustic
0.323,0.244,11,-11.499,1,0.0293,0.776,1.02e-06,0.153,0.19,79.948,audio_features,3XFkhxO5jo2hBOWNzIQ9UB,spotify:track:3XFkhxO5jo2hBOWNzIQ9UB,https://api.spotify.com/v1/tracks/3XFkhxO5jo2hBOWNzIQ9UB,https://api.spotify.com/v1/audio-analysis/3XFkhxO5jo2hBOWNzIQ9UB,226840,4,2007,acoustic
0.532,0.652,9,-6.112,0,0.119,0.262,0,0.461,0.797,80.803,audio_features,4s5DywrMqIlGxvKi4WrHwH,spotify:track:4s5DywrMqIlGxvKi4WrHwH,https://api.spotify.com/v1/tracks/4s5DywrMqIlGxvKi4WrHwH,https://api.spotify.com/v1/audio-analysis/4s5DywrMqIlGxvKi4WrHwH,119880,4,2007,acoustic
0.549,0.24,0,-7.778,1,0.0338,0.947,0,0.106,0.167,119.58,audio_features,3GSYWQNnSdovwC2H8HpziA,spotify:track:3GSYWQNnSdovwC2H8HpziA,https://api.spotify.com/v1/tracks/3GSYWQNnSdovwC2H8HpziA,https://api.spotify.com/v1/audio-analysis/3GSYWQNnSdovwC2H8HpziA,268800,4,2007,acoustic
0.401,0.58,7,-6.86,1,0.0541,0.906,0.217,0.134,0.526,173.277,audio_features,1bhpBRCLsVg3p7BWARbaDS,spotify:track:1bhpBRCLsVg3p7BWARbaDS,https://api.spotify.com/v1/tracks/1bhpBRCLsVg3p7BWARbaDS,https://api.spotify.com/v1/audio-analysis/1bhpBRCLsVg3p7BWARbaDS,156453,3,2007,acoustic
0.759,0.684,0,-5.751,1,0.0315,0.269,0,0.13,0.759,107.948,audio_features,3mDvi0k4LuCA7ViLf3Qb3O,spotify:track:3mDvi0k4LuCA7ViLf3Qb3O,https://api.spotify.com/v1/tracks/3mDvi0k4LuCA7ViLf3Qb3O,https://api.spotify.com/v1/audio-analysis/3mDvi0k4LuCA7ViLf3Qb3O,170040,4,2007,acoustic
0.436,0.4,7,-11.485,1,0.0272,0.904,0.00105,0.125,0.351,100.734,audio_features,4LGF2tDg3878bs0mQPByZ4,spotify:track:4LGF2tDg3878bs0mQPByZ4,https://api.spotify.com/v1/tracks/4LGF2tDg3878bs0mQPByZ4,https://api.spotify.com/v1/audio-analysis/4LGF2tDg3878bs0mQPByZ4,164500,4,2007,acoustic
0.505,0.717,8,-5.097,1,0.0457,0.00796,6.15e-05,0.0971,0.462,158.054,audio_features,03kCR9HZpX5muU7D8xYPOL,spotify:track:03kCR9HZpX5muU7D8xYPOL,https://api.spotify.com/v1/tracks/03kCR9HZpX5muU7D8xYPOL,https://api.spotify.com/v1/audio-analysis/03kCR9HZpX5muU7D8xYPOL,311173,4,2007,acoustic
0.679,0.485,0,-7.837,1,0.0278,0.215,0,0.0901,0.64,97.356,audio_features,35ycG8vBnHjAfw1Q5WDl76,spotify:track:35ycG8vBnHjAfw1Q5WDl76,https://api.spotify.com/v1/tracks/35ycG8vBnHjAfw1Q5WDl76,https://api.spotify.com/v1/audio-analysis/35ycG8vBnHjAfw1Q5WDl76,248773,4,2007,acoustic
0.432,0.664,7,-4.662,1,0.0302,0.215,0,0.15,0.294,156.216,audio_features,5uNEaSgkkPw6vLCUh3KsdQ,spotify:track:5uNEaSgkkPw6vLCUh3KsdQ,https://api.spotify.com/v1/tracks/5uNEaSgkkPw6vLCUh3KsdQ,https://api.spotify.com/v1/audio-analysis/5uNEaSgkkPw6vLCUh3KsdQ,251640,4,2007,acoustic
0.614,0.427,4,-11.453,0,0.0347,0.634,0.000126,0.237,0.281,93.606,audio_features,6FnzorBDrkx48LymWUYFLQ,spotify:track:6FnzorBDrkx48LymWUYFLQ,https://api.spotify.com/v1/tracks/6FnzorBDrkx48LymWUYFLQ,https://api.spotify.com/v1/audio-analysis/6FnzorBDrkx48LymWUYFLQ,196520,4,2007,acoustic
0.534,0.492,4,-8.905,1,0.0261,0.584,1.12e-06,0.185,0.328,82.465,audio_features,4SXcG6Ti32myNw9GJ9qeDt,spotify:track:4SXcG6Ti32myNw9GJ9qeDt,https://api.spotify.com/v1/tracks/4SXcG6Ti32myNw9GJ9qeDt,https://api.spotify.com/v1/audio-analysis/4SXcG6Ti32myNw9GJ9qeDt,216933,3,2007,acoustic
0.478,0.305,5,-13.062,1,0.0306,0.675,0.00139,0.169,0.0974,108.66,audio_features,4lxGVzcUaSF5HW5jtWnShV,spotify:track:4lxGVzcUaSF5HW5jtWnShV,https://api.spotify.com/v1/tracks/4lxGVzcUaSF5HW5jtWnShV,https://api.spotify.com/v1/audio-analysis/4lxGVzcUaSF5HW5jtWnShV,151773,4,2007,acoustic
0.3,0.364,11,-7.385,1,0.032,0.798,6.35e-06,0.116,0.391,184.241,audio_features,2vy6F2C23RxlGJvbdA7NTq,spotify:track:2vy6F2C23RxlGJvbdA7NTq,https://api.spotify.com/v1/tracks/2vy6F2C23RxlGJvbdA7NTq,https://api.spotify.com/v1/audio-analysis/2vy6F2C23RxlGJvbdA7NTq,225400,3,2007,acoustic
0.486,0.614,0,-7.636,1,0.0374,0.118,0,0.127,0.592,91.147,audio_features,3oIQfBgaruqihkCHokRQZ0,spotify:track:3oIQfBgaruqihkCHokRQZ0,https://api.spotify.com/v1/tracks/3oIQfBgaruqihkCHokRQZ0,https://api.spotify.com/v1/audio-analysis/3oIQfBgaruqihkCHokRQZ0,195587,4,2007,acoustic
0.724,0.652,3,-6.869,1,0.0247,0.46,0.000142,0.101,0.75,106.911,audio_features,6J0bdIZElZMymahgVWRE9B,spotify:track:6J0bdIZElZMymahgVWRE9B,https://api.spotify.com/v1/tracks/6J0bdIZElZMymahgVWRE9B,https://api.spotify.com/v1/audio-analysis/6J0bdIZElZMymahgVWRE9B,94053,4,2007,acoustic
0.717,0.377,9,-12.173,1,0.0323,0.108,0.277,0.082,0.758,100.571,audio_features,3xDzENGFlOcJArnPahlx13,spotify:track:3xDzENGFlOcJArnPahlx13,https://api.spotify.com/v1/tracks/3xDzENGFlOcJArnPahlx13,https://api.spotify.com/v1/audio-analysis/3xDzENGFlOcJArnPahlx13,317147,4,2007,acoustic
0.545,0.349,2,-9.931,1,0.0478,0.481,6.02e-05,0.0985,0.347,79.168,audio_features,3XsYJu7hRhj7Awg3rB0AnL,spotify:track:3XsYJu7hRhj7Awg3rB0AnL,https://api.spotify.com/v1/tracks/3XsYJu7hRhj7Awg3rB0AnL,https://api.spotify.com/v1/audio-analysis/3XsYJu7hRhj7Awg3rB0AnL,178320,4,2007,acoustic
0.717,0.476,2,-11.068,1,0.0336,0.214,1.11e-05,0.176,0.682,93.216,audio_features,0Wv8SrR4kycxh3GIpl2adV,spotify:track:0Wv8SrR4kycxh3GIpl2adV,https://api.spotify.com/v1/tracks/0Wv8SrR4kycxh3GIpl2adV,https://api.spotify.com/v1/audio-analysis/0Wv8SrR4kycxh3GIpl2adV,304933,4,2007,acoustic
0.638,0.452,9,-9.616,1,0.0297,0.608,0.0577,0.112,0.341,100.105,audio_features,6z2qa2dnJDXgVTngG4gFu7,spotify:track:6z2qa2dnJDXgVTngG4gFu7,https://api.spotify.com/v1/tracks/6z2qa2dnJDXgVTngG4gFu7,https://api.spotify.com/v1/audio-analysis/6z2qa2dnJDXgVTngG4gFu7,152947,4,2007,acoustic
0.621,0.717,0,-4.161,1,0.0326,0.199,0,0.153,0.699,132.815,audio_features,3kfHdr2sYF2EeWEmBHquVj,spotify:track:3kfHdr2sYF2EeWEmBHquVj,https://api.spotify.com/v1/tracks/3kfHdr2sYF2EeWEmBHquVj,https://api.spotify.com/v1/audio-analysis/3kfHdr2sYF2EeWEmBHquVj,180627,4,2007,acoustic
0.557,0.185,8,-12.174,1,0.0439,0.913,2.22e-05,0.15,0.418,145.772,audio_features,2IjAfjpkHB1KcQHn5zqzdv,spotify:track:2IjAfjpkHB1KcQHn5zqzdv,https://api.spotify.com/v1/tracks/2IjAfjpkHB1KcQHn5zqzdv,https://api.spotify.com/v1/audio-analysis/2IjAfjpkHB1KcQHn5zqzdv,182187,4,2007,acoustic
0.514,0.576,6,-5.252,1,0.031,0.194,1.14e-06,0.111,0.294,129.919,audio_features,2t3b5MZMzsArvQflOUo804,spotify:track:2t3b5MZMzsArvQflOUo804,https://api.spotify.com/v1/tracks/2t3b5MZMzsArvQflOUo804,https://api.spotify.com/v1/audio-analysis/2t3b5MZMzsArvQflOUo804,274747,4,2007,acoustic
0.635,0.398,4,-7.893,1,0.0262,0.282,2.71e-06,0.086,0.398,112.329,audio_features,1we6fKUZmxDbVxqs2n2qjw,spotify:track:1we6fKUZmxDbVxqs2n2qjw,https://api.spotify.com/v1/tracks/1we6fKUZmxDbVxqs2n2qjw,https://api.spotify.com/v1/audio-analysis/1we6fKUZmxDbVxqs2n2qjw,259307,3,2007,acoustic
0.563,0.578,1,-11.056,1,0.0338,0.148,0.361,0.132,0.491,81.977,audio_features,6HWGLNbv50Sw8Jg5VHtoCf,spotify:track:6HWGLNbv50Sw8Jg5VHtoCf,https://api.spotify.com/v1/tracks/6HWGLNbv50Sw8Jg5VHtoCf,https://api.spotify.com/v1/audio-analysis/6HWGLNbv50Sw8Jg5VHtoCf,227160,1,2007,acoustic
0.521,0.591,1,-5.753,1,0.0328,0.0011,1.28e-05,0.132,0.179,103.449,audio_features,6ufzyWwbjLdQeWvsquWiil,spotify:track:6ufzyWwbjLdQeWvsquWiil,https://api.spotify.com/v1/tracks/6ufzyWwbjLdQeWvsquWiil,https://api.spotify.com/v1/audio-analysis/6ufzyWwbjLdQeWvsquWiil,234800,3,2007,acoustic
0.38,0.69,0,-7.66,1,0.104,0.446,0,0.226,0.642,83.443,audio_features,47hr9KDPHYmOCCd0aj3Q04,spotify:track:47hr9KDPHYmOCCd0aj3Q04,https://api.spotify.com/v1/tracks/47hr9KDPHYmOCCd0aj3Q04,https://api.spotify.com/v1/audio-analysis/47hr9KDPHYmOCCd0aj3Q04,148293,4,2007,acoustic
0.242,0.592,9,-10.181,1,0.0387,0.0259,0,0.0792,0.317,167.567,audio_features,0InW8BolYQOtEilob4C6LO,spotify:track:0InW8BolYQOtEilob4C6LO,https://api.spotify.com/v1/tracks/0InW8BolYQOtEilob4C6LO,https://api.spotify.com/v1/audio-analysis/0InW8BolYQOtEilob4C6LO,225133,4,2007,acoustic
0.337,0.287,0,-15.051,1,0.0332,0.898,0.978,0.12,0.393,107.031,audio_features,3YalaPTUkyCYanwIf0l4UN,spotify:track:3YalaPTUkyCYanwIf0l4UN,https://api.spotify.com/v1/tracks/3YalaPTUkyCYanwIf0l4UN,https://api.spotify.com/v1/audio-analysis/3YalaPTUkyCYanwIf0l4UN,60307,4,2007,acoustic
0.549,0.78,2,-5.08,1,0.0291,0.0116,0,0.195,0.804,119.369,audio_features,0NkeEkDFOby5xOZ7BIKVuD,spotify:track:0NkeEkDFOby5xOZ7BIKVuD,https://api.spotify.com/v1/tracks/0NkeEkDFOby5xOZ7BIKVuD,https://api.spotify.com/v1/audio-analysis/0NkeEkDFOby5xOZ7BIKVuD,97867,4,2007,acoustic
