danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,energy_cat
0.417,0.279,-11.286,1,0.0305,0.862,0.0,0.0954,0.381,70.216,4,rock,2
0.455,0.965,-4.24,0,0.0826,0.000676,0.00784,0.226,0.155,119.04,4,metal,5
0.38,0.763,-11.383,1,0.0465,9.69e-05,0.0248,0.592,0.522,160.611,4,blues,4
0.653,0.368,-11.567,0,0.0439,0.875,0.00305,0.0972,0.249,117.161,4,jazz,2
0.601,0.741,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,4,pop,4
0.325,0.768,-7.51,1,0.0491,0.0426,4.04e-06,0.27,0.454,176.6,4,pop,4
0.901,0.464,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,4,pop,3
0.441,0.868,-5.516,0,0.0714,0.000121,2.72e-06,0.145,0.366,162.0,4,metal,5
0.658,0.665,-6.547,0,0.0435,0.0481,0.0,0.0805,0.637,100.518,4,acoustic,4
0.687,0.702,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,4,dance,4
0.616,0.728,-4.02,0,0.0278,0.0275,0.0,0.228,0.375,111.934,4,country,4
0.486,0.964,-3.615,1,0.0548,0.00147,0.0628,0.101,0.177,139.958,4,jazz,5
0.939,0.742,-5.171,0,0.0467,0.321,0.0,0.107,0.924,118.978,4,pop,4
0.567,0.863,-5.158,0,0.037,0.00462,4.77e-05,0.207,0.722,106.03,4,blues,5
0.588,0.702,-4.271,1,0.0496,0.104,0.0,0.089,0.429,124.909,4,pop,4
0.116,0.0323,-26.764,1,0.0472,0.984,0.919,0.132,0.0661,88.295,3,classical,1
0.492,0.804,-5.053,1,0.078,0.0273,1.55e-06,0.071,0.574,159.956,4,acoustic,5
0.588,0.877,-4.78,1,0.16,0.00952,0.0,0.171,0.645,155.165,4,dance,5
0.424,0.886,-5.24,1,0.0496,1.31e-05,0.751,0.123,0.292,125.796,4,classical,5
0.768,0.479,-11.731,1,0.0658,0.000667,0.828,0.098,0.328,116.757,4,techno,3
0.273,0.776,-7.742,1,0.0488,0.479,0.903,0.099,0.466,159.33,4,blues,4
0.585,0.643,-8.392,1,0.0395,0.201,0.000306,0.144,0.592,152.98,3,rock,4
0.381,0.157,-12.068,1,0.0361,0.881,1.9e-05,0.0874,0.143,81.115,4,acoustic,1
0.532,0.935,-4.798,1,0.0619,0.00133,8.37e-06,0.106,0.309,128.025,4,metal,5
0.761,0.85,-10.846,0,0.0439,0.0039,0.811,0.0843,0.87,100.006,4,jazz,5
0.584,0.509,-10.338,1,0.0279,0.0234,0.00017,0.0808,0.387,138.022,4,country,3
0.316,0.0573,-24.121,1,0.0515,0.988,0.879,0.12,0.0373,81.07,3,classical,1
0.571,0.232,-9.246,1,0.0301,0.61,1.1e-05,0.102,0.38,93.997,4,acoustic,2
