danceability,key,mode,speechiness,liveness,tempo,time_signature
0.385,2,1,0.0305,0.131,126.162,4
0.622,5,1,0.202,0.113,89.981,4
0.303,6,1,0.0301,0.123,84.167,4
0.563,11,1,0.127,0.0788,173.906,4
0.516,8,0,0.0364,0.11,116.794,4
0.621,6,0,0.0592,0.053,125.992,4
0.53,4,1,0.0327,0.11,150.05,4
0.47,2,1,0.0537,0.142,124.01,4
0.44,1,0,0.141,0.33,170.196,4
0.588,2,1,0.0283,0.109,110.014,4
0.664,8,1,0.0474,0.0841,103.07,4
0.413,5,0,0.0478,0.0805,161.679,3
0.655,4,1,0.0365,0.0733,92.021,4
0.209,3,1,0.0502,0.116,65.385,4
0.475,8,1,0.0367,0.13,145.442,4
0.756,1,1,0.0343,0.178,119.961,4
0.405,0,1,0.103,0.112,94.097,4
0.661,0,0,0.037,0.617,108.037,4
0.509,10,0,0.0886,0.119,138.039,4
0.389,0,0,0.0368,0.123,143.433,4
0.687,1,0,0.0353,0.2,133.962,4
0.503,4,1,0.219,0.0459,180.058,4
0.48,4,1,0.0899,0.0479,167.986,4
0.509,1,0,0.0488,0.348,140.055,3
0.531,11,0,0.0809,0.0822,164.079,4
0.391,4,0,0.0415,0.154,143.963,4
0.399,4,0,0.163,0.0759,95.498,4
0.256,0,1,0.049,0.578,62.102,4
0.612,6,1,0.0368,0.366,120.996,4
0.602,10,0,0.0732,0.0693,109.731,4
0.648,5,1,0.0311,0.366,119.96,4
0.634,5,0,0.0333,0.257,90.087,4
0.474,9,1,0.0373,0.107,134.308,4
0.668,11,1,0.0314,0.173,130.321,4
0.369,0,0,0.0611,0.416,78.532,4
0.366,11,0,0.0568,0.267,82.305,3
0.699,10,1,0.0716,0.182,126.036,4
0.706,5,1,0.0399,0.0822,100.011,4
0.797,0,1,0.247,0.095,177.87,4
0.536,9,1,0.0264,0.2,142.07,4
0.72,1,0,0.12,0.255,78.953,4
0.552,0,0,0.0343,0.118,131.242,4
0.388,0,1,0.176,0.663,183.905,4
0.596,10,0,0.0343,0.184,127.956,4
0.538,4,1,0.0318,0.237,150.553,4
0.262,6,0,0.0442,0.0794,68.904,4
0.833,0,1,0.0518,0.114,110.689,4
0.223,11,1,0.0362,0.0759,64.528,5
0.279,11,1,0.0342,0.118,77.513,4
0.566,6,1,0.0418,0.114,169.861,4
0.584,6,1,0.0506,0.13,163.953,4
0.48,4,1,0.0354,0.11,128.035,4
0.272,7,1,0.0836,0.0993,85.045,3
0.361,2,1,0.0508,0.196,78.272,4
0.443,6,0,0.0542,0.0702,123.978,4
0.519,0,1,0.0279,0.108,85.929,4
0.653,5,1,0.648,0.107,116.6,3
0.561,2,0,0.0636,0.176,146.036,4
0.509,6,1,0.0338,0.143,116.529,4
0.626,7,0,0.0578,0.0839,92.921,3
0.638,0,1,0.0366,0.0678,126.045,4
0.647,6,0,0.0245,0.111,94.035,4
0.469,6,1,0.0326,0.123,85.984,4
0.442,1,1,0.0295,0.0735,78.899,4
0.608,2,0,0.0259,0.338,94.016,4
0.176,10,1,0.0406,0.29,71.673,5
0.244,5,1,0.0456,0.301,183.577,5
0.663,6,0,0.0358,0.0717,95.963,4
0.744,0,1,0.039,0.231,112.997,4
0.806,9,0,0.0927,0.102,122.061,3
0.666,2,1,0.0453,0.0668,120.02,4
0.657,6,1,0.0352,0.0457,130.002,4
0.421,2,1,0.0302,0.0857,90.913,4
0.6,4,1,0.107,0.162,71.912,4
0.526,5,1,0.0459,0.437,131.715,4
0.719,2,0,0.0363,0.17,121.99,3
0.473,0,1,0.0315,0.105,93.777,3
0.755,0,0,0.0364,0.172,110.035,4
0.702,6,0,0.0601,0.0674,102.977,4
0.433,5,0,0.0817,0.769,160.048,4
0.679,7,1,0.276,0.137,186.003,4
0.752,5,0,0.0696,0.256,115.033,4
0.234,10,1,0.073,0.376,179.575,4
0.621,0,1,0.0326,0.153,132.815,4
0.559,3,1,0.0454,0.328,86.978,4
0.585,5,0,0.0393,0.215,118.861,4
0.489,5,0,0.0534,0.131,81.212,3
0.447,7,1,0.089,0.312,178.105,4
0.687,10,1,0.0305,0.107,120.023,4
0.207,1,1,0.0384,0.104,82.319,4
0.514,1,1,0.0409,0.0682,100.793,4
0.41,8,1,0.0391,0.807,76.697,4
0.592,6,0,0.102,0.0819,102.99,4
0.492,9,0,0.0921,0.0705,111.519,5
0.569,7,1,0.0322,0.117,133.883,4
0.576,2,1,0.0351,0.571,83.996,4
0.538,1,0,0.14,0.219,101.414,4
0.634,6,1,0.052,0.132,94.988,4
0.149,4,0,0.0365,0.101,83.928,3
0.659,0,1,0.0342,0.103,111.976,4
0.815,6,1,0.199,0.0898,151.518,4
0.574,10,1,0.056,0.119,149.137,4
0.633,6,0,0.258,0.206,86.776,4
0.543,6,1,0.157,0.0922,86.534,4
0.867,1,1,0.0768,0.103,115.0,4
0.519,10,1,0.113,0.978,122.621,4
0.586,5,1,0.0324,0.0927,148.088,4
0.645,0,1,0.0372,0.125,97.514,4
0.666,9,0,0.0346,0.0915,123.006,4
0.469,1,0,0.0272,0.276,86.953,4
0.662,2,1,0.0428,0.0456,133.993,4
0.357,9,1,0.039,0.0886,138.664,4
0.389,0,1,0.0467,0.117,183.226,4
0.52,4,0,0.0343,0.109,67.007,4
0.57,8,1,0.0363,0.161,94.948,4
0.607,3,1,0.0392,0.111,93.965,4
0.616,0,1,0.0386,0.343,144.072,4
0.447,2,0,0.0464,0.0744,80.04,4
0.466,9,1,0.0457,0.341,128.811,4
0.791,5,0,0.254,0.189,130.012,4
0.252,0,1,0.0368,0.118,139.361,4
0.282,0,1,0.0484,0.107,113.808,3
0.506,7,0,0.0523,0.191,132.162,4
0.78,1,1,0.16,0.29,125.25,4
0.697,5,0,0.0511,0.102,179.007,4
0.527,5,0,0.0331,0.085,75.019,4
0.614,0,1,0.027,0.114,107.673,3
0.468,7,1,0.0494,0.165,167.998,4
0.146,0,1,0.0476,0.0864,81.526,3
0.609,5,1,0.029,0.351,103.566,4
0.414,0,1,0.0653,0.0995,148.193,4
0.651,0,0,0.0281,0.0994,102.0,4
0.626,4,1,0.0384,0.0668,102.166,4
0.178,6,1,0.044,0.0994,74.987,4
0.851,11,0,0.0542,0.0769,128.001,3
0.328,9,0,0.0354,0.122,87.896,4
0.469,2,1,0.102,0.0717,134.031,4
0.367,9,0,0.0602,0.106,67.607,3
