danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
0.588,0.142,7,-15.196,1,0.0329,0.863,0.000162,0.0953,0.288,119.656,audio_features,2fSIF8CJhoc9CJhF9vJDXp,spotify:track:2fSIF8CJhoc9CJhF9vJDXp,https://api.spotify.com/v1/tracks/2fSIF8CJhoc9CJhF9vJDXp,https://api.spotify.com/v1/audio-analysis/2fSIF8CJhoc9CJhF9vJDXp,250867,4,2004,acoustic
0.504,0.321,7,-13.807,1,0.0316,0.149,0.000107,0.147,0.577,170.134,audio_features,1U1GtaJeYwGsPgqV9Me5bb,spotify:track:1U1GtaJeYwGsPgqV9Me5bb,https://api.spotify.com/v1/tracks/1U1GtaJeYwGsPgqV9Me5bb,https://api.spotify.com/v1/audio-analysis/1U1GtaJeYwGsPgqV9Me5bb,306200,3,2004,acoustic
0.325,0.424,7,-12.733,1,0.0438,0.341,0.000267,0.23,0.494,173.352,audio_features,5aGkIyzLVYGuLIHkxpNAFF,spotify:track:5aGkIyzLVYGuLIHkxpNAFF,https://api.spotify.com/v1/tracks/5aGkIyzLVYGuLIHkxpNAFF,https://api.spotify.com/v1/audio-analysis/5aGkIyzLVYGuLIHkxpNAFF,241547,3,2004,acoustic
0.643,0.569,7,-7.459,1,0.0276,0.544,2.17e-05,0.178,0.275,120.507,audio_features,0B5KeB25moPkcQUnbDvj3t,spotify:track:0B5KeB25moPkcQUnbDvj3t,https://api.spotify.com/v1/tracks/0B5KeB25moPkcQUnbDvj3t,https://api.spotify.com/v1/audio-analysis/0B5KeB25moPkcQUnbDvj3t,244600,4,2004,acoustic
0.423,0.862,0,-5.13,0,0.0695,0.00791,0,0.133,0.462,154.746,audio_features,6ich2xMH5AR39V85miIAN8,spotify:track:6ich2xMH5AR39V85miIAN8,https://api.spotify.com/v1/tracks/6ich2xMH5AR39V85miIAN8,https://api.spotify.com/v1/audio-analysis/6ich2xMH5AR39V85miIAN8,217760,4,2004,acoustic
0.665,0.635,5,-5.302,1,0.0388,0.0756,0,0.208,0.299,113.046,audio_features,5PGYWv9Xp4IraLSDs8h1bY,spotify:track:5PGYWv9Xp4IraLSDs8h1bY,https://api.spotify.com/v1/tracks/5PGYWv9Xp4IraLSDs8h1bY,https://api.spotify.com/v1/audio-analysis/5PGYWv9Xp4IraLSDs8h1bY,202093,4,2004,acoustic
0.281,0.779,7,-5.104,1,0.0514,0.0437,0,0.37,0.344,167.172,audio_features,08kTO4EW0jb07zNsCNM83w,spotify:track:08kTO4EW0jb07zNsCNM83w,https://api.spotify.com/v1/tracks/08kTO4EW0jb07zNsCNM83w,https://api.spotify.com/v1/audio-analysis/08kTO4EW0jb07zNsCNM83w,239173,4,2004,acoustic
0.545,0.582,8,-7.377,1,0.0368,0.142,0,0.144,0.536,147.082,audio_features,4bgCdwNpbU3sCJ3mupBW8S,spotify:track:4bgCdwNpbU3sCJ3mupBW8S,https://api.spotify.com/v1/tracks/4bgCdwNpbU3sCJ3mupBW8S,https://api.spotify.com/v1/audio-analysis/4bgCdwNpbU3sCJ3mupBW8S,244333,4,2004,acoustic
0.629,0.673,6,-4.379,1,0.0262,0.294,0.0109,0.139,0.419,114.243,audio_features,2a0WwSvmFdXPTdDMilPA1y,spotify:track:2a0WwSvmFdXPTdDMilPA1y,https://api.spotify.com/v1/tracks/2a0WwSvmFdXPTdDMilPA1y,https://api.spotify.com/v1/audio-analysis/2a0WwSvmFdXPTdDMilPA1y,195213,4,2004,acoustic
0.461,0.418,0,-7.076,1,0.0444,0.596,1.5e-06,0.973,0.338,80.773,audio_features,7eG1BnCa7VYmbNM5uMuCRN,spotify:track:7eG1BnCa7VYmbNM5uMuCRN,https://api.spotify.com/v1/tracks/7eG1BnCa7VYmbNM5uMuCRN,https://api.spotify.com/v1/audio-analysis/7eG1BnCa7VYmbNM5uMuCRN,274013,4,2004,acoustic
0.465,0.303,7,-8.793,1,0.04,0.708,2e-06,0.981,0.337,143.933,audio_features,1RF3WJxRgx1Xt6vhamUIo6,spotify:track:1RF3WJxRgx1Xt6vhamUIo6,https://api.spotify.com/v1/tracks/1RF3WJxRgx1Xt6vhamUIo6,https://api.spotify.com/v1/audio-analysis/1RF3WJxRgx1Xt6vhamUIo6,393987,4,2004,acoustic
0.484,0.186,0,-14.75,1,0.0352,0.292,3.75e-06,0.316,0.193,116.871,audio_features,3V4GBwxo5UjAAjXbYES3x1,spotify:track:3V4GBwxo5UjAAjXbYES3x1,https://api.spotify.com/v1/tracks/3V4GBwxo5UjAAjXbYES3x1,https://api.spotify.com/v1/audio-analysis/3V4GBwxo5UjAAjXbYES3x1,276507,4,2004,acoustic
0.628,0.804,11,-5.55,0,0.128,0.0918,1.17e-06,0.393,0.795,82.288,audio_features,1XhzO8cuPaqsqUKw92Wbwc,spotify:track:1XhzO8cuPaqsqUKw92Wbwc,https://api.spotify.com/v1/tracks/1XhzO8cuPaqsqUKw92Wbwc,https://api.spotify.com/v1/audio-analysis/1XhzO8cuPaqsqUKw92Wbwc,303027,4,2004,acoustic
0.428,0.985,4,-2.231,1,0.0581,0.0001,0,0.275,0.626,99.967,audio_features,0v7zvN72z2XGANTHmX064E,spotify:track:0v7zvN72z2XGANTHmX064E,https://api.spotify.com/v1/tracks/0v7zvN72z2XGANTHmX064E,https://api.spotify.com/v1/audio-analysis/0v7zvN72z2XGANTHmX064E,102787,4,2004,acoustic
0.404,0.95,0,-2.553,1,0.0471,0.00049,0,0.0776,0.581,101.531,audio_features,2vC2YrdJBPUxYXqZSXHFAg,spotify:track:2vC2YrdJBPUxYXqZSXHFAg,https://api.spotify.com/v1/tracks/2vC2YrdJBPUxYXqZSXHFAg,https://api.spotify.com/v1/audio-analysis/2vC2YrdJBPUxYXqZSXHFAg,120760,4,2004,acoustic
0.525,0.329,1,-8.806,1,0.0279,0.754,0.0106,0.156,0.0786,98.065,audio_features,4J2xcnSe8XXPbSzeqnK0aw,spotify:track:4J2xcnSe8XXPbSzeqnK0aw,https://api.spotify.com/v1/tracks/4J2xcnSe8XXPbSzeqnK0aw,https://api.spotify.com/v1/audio-analysis/4J2xcnSe8XXPbSzeqnK0aw,292773,4,2004,acoustic
0.503,0.109,6,-16.028,0,0.0329,0.701,0.000256,0.106,0.298,168.215,audio_features,3qI18UF3mDDjHdV7fPV9XK,spotify:track:3qI18UF3mDDjHdV7fPV9XK,https://api.spotify.com/v1/tracks/3qI18UF3mDDjHdV7fPV9XK,https://api.spotify.com/v1/audio-analysis/3qI18UF3mDDjHdV7fPV9XK,228533,4,2004,acoustic
0.345,0.9,0,-2.743,1,0.0329,0.0253,1.8e-05,0.0735,0.475,164.373,audio_features,67nD6Cd1IZwnj9TsDLly6o,spotify:track:67nD6Cd1IZwnj9TsDLly6o,https://api.spotify.com/v1/tracks/67nD6Cd1IZwnj9TsDLly6o,https://api.spotify.com/v1/audio-analysis/67nD6Cd1IZwnj9TsDLly6o,273147,4,2004,acoustic
0.332,0.715,8,-6.779,1,0.0366,0.0191,0.0033,0.131,0.461,116.892,audio_features,3OXX5hy8YPQP9QYgzqaY2f,spotify:track:3OXX5hy8YPQP9QYgzqaY2f,https://api.spotify.com/v1/tracks/3OXX5hy8YPQP9QYgzqaY2f,https://api.spotify.com/v1/audio-analysis/3OXX5hy8YPQP9QYgzqaY2f,168533,4,2004,acoustic
0.634,0.412,3,-7.989,1,0.0312,0.307,4.92e-05,0.0667,0.419,119.987,audio_features,4HJpiZzOYIdf002T4PfMSS,spotify:track:4HJpiZzOYIdf002T4PfMSS,https://api.spotify.com/v1/tracks/4HJpiZzOYIdf002T4PfMSS,https://api.spotify.com/v1/audio-analysis/4HJpiZzOYIdf002T4PfMSS,252333,3,2004,acoustic
0.355,0.0691,4,-22.157,0,0.0311,0.816,0.303,0.112,0.113,96.111,audio_features,2X5S5NV8Bj4WNTCnur6Ylt,spotify:track:2X5S5NV8Bj4WNTCnur6Ylt,https://api.spotify.com/v1/tracks/2X5S5NV8Bj4WNTCnur6Ylt,https://api.spotify.com/v1/audio-analysis/2X5S5NV8Bj4WNTCnur6Ylt,196453,3,2004,acoustic
0.328,0.732,4,-5.767,1,0.0394,0.212,0.0013,0.256,0.502,153.972,audio_features,5xs5pxbcSGqpZNRNfbUrxI,spotify:track:5xs5pxbcSGqpZNRNfbUrxI,https://api.spotify.com/v1/tracks/5xs5pxbcSGqpZNRNfbUrxI,https://api.spotify.com/v1/audio-analysis/5xs5pxbcSGqpZNRNfbUrxI,370373,4,2004,acoustic
0.52,0.113,0,-14.894,1,0.0417,0.893,0,0.11,0.202,99.539,audio_features,3ESjXFvI5GUNFoCCg30u5s,spotify:track:3ESjXFvI5GUNFoCCg30u5s,https://api.spotify.com/v1/tracks/3ESjXFvI5GUNFoCCg30u5s,https://api.spotify.com/v1/audio-analysis/3ESjXFvI5GUNFoCCg30u5s,171640,3,2004,acoustic
0.426,0.418,9,-11.532,0,0.037,0.782,0,0.957,0.206,120.53,audio_features,5fIJ2LAuI3SSc0jRcQqlZV,spotify:track:5fIJ2LAuI3SSc0jRcQqlZV,https://api.spotify.com/v1/tracks/5fIJ2LAuI3SSc0jRcQqlZV,https://api.spotify.com/v1/audio-analysis/5fIJ2LAuI3SSc0jRcQqlZV,409120,4,2004,acoustic
0.691,0.55,0,-11.646,1,0.0315,0.275,8.49e-06,0.275,0.705,143.217,audio_features,47AcSD50nYxgg99swhR8uK,spotify:track:47AcSD50nYxgg99swhR8uK,https://api.spotify.com/v1/tracks/47AcSD50nYxgg99swhR8uK,https://api.spotify.com/v1/audio-analysis/47AcSD50nYxgg99swhR8uK,272867,4,2004,acoustic
0.49,0.32,4,-12.933,1,0.0345,0.311,0.538,0.122,0.111,133.808,audio_features,1uub7ckJgztwNpyADV2cyT,spotify:track:1uub7ckJgztwNpyADV2cyT,https://api.spotify.com/v1/tracks/1uub7ckJgztwNpyADV2cyT,https://api.spotify.com/v1/audio-analysis/1uub7ckJgztwNpyADV2cyT,247733,3,2004,acoustic
0.465,0.242,6,-18.087,1,0.0396,0.885,0.337,0.688,0.1,156.672,audio_features,2RnXRkzGOd2GTVQZlYjojm,spotify:track:2RnXRkzGOd2GTVQZlYjojm,https://api.spotify.com/v1/tracks/2RnXRkzGOd2GTVQZlYjojm,https://api.spotify.com/v1/audio-analysis/2RnXRkzGOd2GTVQZlYjojm,222720,4,2004,acoustic
0.498,0.509,7,-8.482,1,0.0283,0.201,0.0352,0.109,0.193,83.808,audio_features,4ZkOFujtamIynWGfo9PdGR,spotify:track:4ZkOFujtamIynWGfo9PdGR,https://api.spotify.com/v1/tracks/4ZkOFujtamIynWGfo9PdGR,https://api.spotify.com/v1/audio-analysis/4ZkOFujtamIynWGfo9PdGR,276000,4,2004,acoustic
0.289,0.762,11,-5.804,0,0.0489,0.248,0.00278,0.393,0.248,96.547,audio_features,08ZUOlAjNu34wj283BPDJJ,spotify:track:08ZUOlAjNu34wj283BPDJJ,https://api.spotify.com/v1/tracks/08ZUOlAjNu34wj283BPDJJ,https://api.spotify.com/v1/audio-analysis/08ZUOlAjNu34wj283BPDJJ,374800,4,2004,acoustic
0.608,0.526,2,-13.555,1,0.0364,0.333,0.0148,0.357,0.372,87.914,audio_features,2rpoLjEFaFNFzHvFDf7Yd3,spotify:track:2rpoLjEFaFNFzHvFDf7Yd3,https://api.spotify.com/v1/tracks/2rpoLjEFaFNFzHvFDf7Yd3,https://api.spotify.com/v1/audio-analysis/2rpoLjEFaFNFzHvFDf7Yd3,347333,4,2004,acoustic
0.693,0.691,3,-6.371,1,0.025,0.0408,1.49e-06,0.109,0.576,106.006,audio_features,4iQhfDlMpWHoMnBtX09KM4,spotify:track:4iQhfDlMpWHoMnBtX09KM4,https://api.spotify.com/v1/tracks/4iQhfDlMpWHoMnBtX09KM4,https://api.spotify.com/v1/audio-analysis/4iQhfDlMpWHoMnBtX09KM4,245253,4,2004,acoustic
0.625,0.246,7,-15.946,1,0.0328,0.347,0.024,0.0891,0.318,123.543,audio_features,4BSO2gPSFdjz2ZKc9OTh0N,spotify:track:4BSO2gPSFdjz2ZKc9OTh0N,https://api.spotify.com/v1/tracks/4BSO2gPSFdjz2ZKc9OTh0N,https://api.spotify.com/v1/audio-analysis/4BSO2gPSFdjz2ZKc9OTh0N,342707,4,2004,acoustic
0.576,0.723,6,-5.243,1,0.0277,0.0974,3.45e-06,0.582,0.502,101.069,audio_features,2gSHmSP1uimnmyEulXjETa,spotify:track:2gSHmSP1uimnmyEulXjETa,https://api.spotify.com/v1/tracks/2gSHmSP1uimnmyEulXjETa,https://api.spotify.com/v1/audio-analysis/2gSHmSP1uimnmyEulXjETa,107333,4,2004,acoustic
0.363,0.422,11,-15.947,0,0.0383,0.561,0.939,0.112,0.18,146.148,audio_features,3ZKux9uEgufhcmrWuJzHUw,spotify:track:3ZKux9uEgufhcmrWuJzHUw,https://api.spotify.com/v1/tracks/3ZKux9uEgufhcmrWuJzHUw,https://api.spotify.com/v1/audio-analysis/3ZKux9uEgufhcmrWuJzHUw,304040,4,2004,acoustic
0.485,0.182,2,-13.276,1,0.0404,0.8,0.000186,0.11,0.107,96.623,audio_features,2rnYoiXMqcaF2DOT6tpFVo,spotify:track:2rnYoiXMqcaF2DOT6tpFVo,https://api.spotify.com/v1/tracks/2rnYoiXMqcaF2DOT6tpFVo,https://api.spotify.com/v1/audio-analysis/2rnYoiXMqcaF2DOT6tpFVo,473040,5,2004,acoustic
0.613,0.649,7,-5.532,0,0.0381,0.177,0,0.195,0.321,67.023,audio_features,379MTvtZNnggGZPb7Ns6lS,spotify:track:379MTvtZNnggGZPb7Ns6lS,https://api.spotify.com/v1/tracks/379MTvtZNnggGZPb7Ns6lS,https://api.spotify.com/v1/audio-analysis/379MTvtZNnggGZPb7Ns6lS,252160,4,2004,acoustic
0.298,0.503,0,-8.555,1,0.0437,0.348,6.3e-05,0.118,0.533,78.951,audio_features,4bdjQvuoDBAsxdUPmEIltt,spotify:track:4bdjQvuoDBAsxdUPmEIltt,https://api.spotify.com/v1/tracks/4bdjQvuoDBAsxdUPmEIltt,https://api.spotify.com/v1/audio-analysis/4bdjQvuoDBAsxdUPmEIltt,193880,3,2004,acoustic
0.37,0.772,0,-6.148,1,0.0536,0.000575,0,0.0745,0.375,174.775,audio_features,6jSoDFoUl903MNFhS4FuZx,spotify:track:6jSoDFoUl903MNFhS4FuZx,https://api.spotify.com/v1/tracks/6jSoDFoUl903MNFhS4FuZx,https://api.spotify.com/v1/audio-analysis/6jSoDFoUl903MNFhS4FuZx,239747,4,2004,acoustic
0.624,0.7,5,-4.083,0,0.0283,0.189,0,0.107,0.675,113.664,audio_features,6z6vzOf71xhNDSUdPwVMRA,spotify:track:6z6vzOf71xhNDSUdPwVMRA,https://api.spotify.com/v1/tracks/6z6vzOf71xhNDSUdPwVMRA,https://api.spotify.com/v1/audio-analysis/6z6vzOf71xhNDSUdPwVMRA,209520,4,2004,acoustic
0.443,0.404,9,-7.92,1,0.0301,0.528,0,0.177,0.154,59.554,audio_features,03s21IQnj5v3w4Cgq5PtKw,spotify:track:03s21IQnj5v3w4Cgq5PtKw,https://api.spotify.com/v1/tracks/03s21IQnj5v3w4Cgq5PtKw,https://api.spotify.com/v1/audio-analysis/03s21IQnj5v3w4Cgq5PtKw,177987,4,2004,acoustic
0.354,0.518,9,-6.122,1,0.0949,0.68,3.46e-05,0.685,0.528,207.934,audio_features,3pqkwpOMCE8XaeX4IllqWu,spotify:track:3pqkwpOMCE8XaeX4IllqWu,https://api.spotify.com/v1/tracks/3pqkwpOMCE8XaeX4IllqWu,https://api.spotify.com/v1/audio-analysis/3pqkwpOMCE8XaeX4IllqWu,361480,3,2004,acoustic
0.487,0.538,5,-7.429,0,0.0397,0.33,0.00609,0.103,0.269,118.039,audio_features,2glwN5raCeEn0EdjKrNw6i,spotify:track:2glwN5raCeEn0EdjKrNw6i,https://api.spotify.com/v1/tracks/2glwN5raCeEn0EdjKrNw6i,https://api.spotify.com/v1/audio-analysis/2glwN5raCeEn0EdjKrNw6i,456947,3,2004,acoustic
0.473,0.335,8,-11.094,1,0.0321,0.796,0.000914,0.0578,0.608,139.952,audio_features,63ogaJyLqKCR9BUBzmtnIG,spotify:track:63ogaJyLqKCR9BUBzmtnIG,https://api.spotify.com/v1/tracks/63ogaJyLqKCR9BUBzmtnIG,https://api.spotify.com/v1/audio-analysis/63ogaJyLqKCR9BUBzmtnIG,278693,3,2004,acoustic
0.263,0.5,2,-8.759,1,0.0355,0.701,0,0.986,0.195,168.129,audio_features,25dc7wKgV1HyHIKG3frcme,spotify:track:25dc7wKgV1HyHIKG3frcme,https://api.spotify.com/v1/tracks/25dc7wKgV1HyHIKG3frcme,https://api.spotify.com/v1/audio-analysis/25dc7wKgV1HyHIKG3frcme,253200,4,2004,acoustic
