danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
0.483,0.303,4,-10.058,1,0.0429,0.694,0,0.115,0.139,133.406,audio_features,53QF56cjZA9RTuuMZDrSA6,spotify:track:53QF56cjZA9RTuuMZDrSA6,https://api.spotify.com/v1/tracks/53QF56cjZA9RTuuMZDrSA6,https://api.spotify.com/v1/audio-analysis/53QF56cjZA9RTuuMZDrSA6,240166,3,2012,acoustic
0.585,0.303,4,-10.058,1,0.0398,0.694,0,0.115,0.142,136.703,audio_features,05pKAafT85jeeNhZ6kq7HT,spotify:track:05pKAafT85jeeNhZ6kq7HT,https://api.spotify.com/v1/tracks/05pKAafT85jeeNhZ6kq7HT,https://api.spotify.com/v1/audio-analysis/05pKAafT85jeeNhZ6kq7HT,240166,3,2012,acoustic
0.564,0.209,3,-8.922,1,0.0317,0.724,3.99e-05,0.107,0.402,109.024,audio_features,0pegFWSUOTiG0sLVEfxtvA,spotify:track:0pegFWSUOTiG0sLVEfxtvA,https://api.spotify.com/v1/tracks/0pegFWSUOTiG0sLVEfxtvA,https://api.spotify.com/v1/audio-analysis/0pegFWSUOTiG0sLVEfxtvA,214667,4,2012,acoustic
0.487,0.25,10,-9.846,1,0.0289,0.807,0,0.0797,0.496,102.614,audio_features,63wsZUhUZLlh1OsyrZq7sz,spotify:track:63wsZUhUZLlh1OsyrZq7sz,https://api.spotify.com/v1/tracks/63wsZUhUZLlh1OsyrZq7sz,https://api.spotify.com/v1/audio-analysis/63wsZUhUZLlh1OsyrZq7sz,304293,4,2012,acoustic
0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,audio_features,1s8tP3jP4GZcyHDsjvw218,spotify:track:1s8tP3jP4GZcyHDsjvw218,https://api.spotify.com/v1/tracks/1s8tP3jP4GZcyHDsjvw218,https://api.spotify.com/v1/audio-analysis/1s8tP3jP4GZcyHDsjvw218,216387,4,2012,acoustic
0.619,0.28,8,-10.238,0,0.0317,0.729,0,0.103,0.294,129.96,audio_features,2EKxmYmUdAVXlaHCnnW13o,spotify:track:2EKxmYmUdAVXlaHCnnW13o,https://api.spotify.com/v1/tracks/2EKxmYmUdAVXlaHCnnW13o,https://api.spotify.com/v1/audio-analysis/2EKxmYmUdAVXlaHCnnW13o,250063,4,2012,acoustic
0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,audio_features,6nXIYClvJAfi6ujLiKqEq8,spotify:track:6nXIYClvJAfi6ujLiKqEq8,https://api.spotify.com/v1/tracks/6nXIYClvJAfi6ujLiKqEq8,https://api.spotify.com/v1/audio-analysis/6nXIYClvJAfi6ujLiKqEq8,244320,4,2012,acoustic
0.713,0.824,3,-7.168,1,0.0393,0.106,8.03e-05,0.13,0.696,120.028,audio_features,3yqJGfvXtPZLiWHVeLWtm8,spotify:track:3yqJGfvXtPZLiWHVeLWtm8,https://api.spotify.com/v1/tracks/3yqJGfvXtPZLiWHVeLWtm8,https://api.spotify.com/v1/audio-analysis/3yqJGfvXtPZLiWHVeLWtm8,207240,4,2012,acoustic
0.439,0.207,1,-9.573,1,0.0296,0.614,0,0.187,0.263,136.513,audio_features,6VtoP2sJt5oCmPOQIve2sf,spotify:track:6VtoP2sJt5oCmPOQIve2sf,https://api.spotify.com/v1/tracks/6VtoP2sJt5oCmPOQIve2sf,https://api.spotify.com/v1/audio-analysis/6VtoP2sJt5oCmPOQIve2sf,276147,4,2012,acoustic
0.652,0.773,11,-4.798,0,0.0457,0.228,7.41e-06,0.0972,0.435,105.946,audio_features,4TWn4YeBaTqDURrYLd6k0a,spotify:track:4TWn4YeBaTqDURrYLd6k0a,https://api.spotify.com/v1/tracks/4TWn4YeBaTqDURrYLd6k0a,https://api.spotify.com/v1/audio-analysis/4TWn4YeBaTqDURrYLd6k0a,248240,4,2012,acoustic
0.543,0.327,9,-6.813,1,0.0368,0.785,0,0.0888,0.249,135.257,audio_features,6iqAJh3X8bf94eo4reme5L,spotify:track:6iqAJh3X8bf94eo4reme5L,https://api.spotify.com/v1/tracks/6iqAJh3X8bf94eo4reme5L,https://api.spotify.com/v1/audio-analysis/6iqAJh3X8bf94eo4reme5L,222293,3,2012,acoustic
0.586,0.423,7,-7.459,1,0.0261,0.252,5.83e-06,0.0976,0.318,138.133,audio_features,3Y6BuzQCg9p4yH347Nn8OW,spotify:track:3Y6BuzQCg9p4yH347Nn8OW,https://api.spotify.com/v1/tracks/3Y6BuzQCg9p4yH347Nn8OW,https://api.spotify.com/v1/audio-analysis/3Y6BuzQCg9p4yH347Nn8OW,232373,4,2012,acoustic
0.657,0.43,1,-10.202,1,0.0314,0.534,0.000238,0.12,0.335,91.967,audio_features,1RjEDlhTp2iJXWPdLpa8OM,spotify:track:1RjEDlhTp2iJXWPdLpa8OM,https://api.spotify.com/v1/tracks/1RjEDlhTp2iJXWPdLpa8OM,https://api.spotify.com/v1/audio-analysis/1RjEDlhTp2iJXWPdLpa8OM,236379,4,2012,acoustic
0.65,0.628,7,-7.16,1,0.0232,0.0483,0,0.119,0.7,84.141,audio_features,3ce7k1L4EkZppZPz1EJWTS,spotify:track:3ce7k1L4EkZppZPz1EJWTS,https://api.spotify.com/v1/tracks/3ce7k1L4EkZppZPz1EJWTS,https://api.spotify.com/v1/audio-analysis/3ce7k1L4EkZppZPz1EJWTS,235080,4,2012,acoustic
0.425,0.273,11,-10.712,0,0.0355,0.745,0,0.093,0.365,137.994,audio_features,3X01VeoR0GckfiXlFRrJmF,spotify:track:3X01VeoR0GckfiXlFRrJmF,https://api.spotify.com/v1/tracks/3X01VeoR0GckfiXlFRrJmF,https://api.spotify.com/v1/audio-analysis/3X01VeoR0GckfiXlFRrJmF,247002,4,2012,acoustic
