danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
0.676,0.762,1,-4.172,1,0.0351,0.461,0,0.0574,0.81,119.003,audio_features,3VA8T3rNy5V24AXxNK5u9E,spotify:track:3VA8T3rNy5V24AXxNK5u9E,https://api.spotify.com/v1/tracks/3VA8T3rNy5V24AXxNK5u9E,https://api.spotify.com/v1/audio-analysis/3VA8T3rNy5V24AXxNK5u9E,207493,4,2010,acoustic
0.548,0.42,0,-7.842,1,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,audio_features,7LwGBxB0h0CVmkOZxYKn0g,spotify:track:7LwGBxB0h0CVmkOZxYKn0g,https://api.spotify.com/v1/tracks/7LwGBxB0h0CVmkOZxYKn0g,https://api.spotify.com/v1/audio-analysis/7LwGBxB0h0CVmkOZxYKn0g,318909,4,2010,acoustic
0.401,0.802,10,-5.646,1,0.0291,0.0236,0,0.224,0.326,163.987,audio_features,1MzlQlMCHU4zSyHjVGbMln,spotify:track:1MzlQlMCHU4zSyHjVGbMln,https://api.spotify.com/v1/tracks/1MzlQlMCHU4zSyHjVGbMln,https://api.spotify.com/v1/audio-analysis/1MzlQlMCHU4zSyHjVGbMln,215200,4,2010,acoustic
0.373,0.914,0,-4.185,1,0.0565,0.076,0,0.669,0.56,168.21,audio_features,3ILmwMefYZoQh5Cf5jeuUQ,spotify:track:3ILmwMefYZoQh5Cf5jeuUQ,https://api.spotify.com/v1/tracks/3ILmwMefYZoQh5Cf5jeuUQ,https://api.spotify.com/v1/audio-analysis/3ILmwMefYZoQh5Cf5jeuUQ,232360,4,2010,acoustic
0.649,0.4,11,-10.917,1,0.0354,0.142,0.000208,0.112,0.185,141.984,audio_features,4xYUnLUwwWMndNlCQi4CqX,spotify:track:4xYUnLUwwWMndNlCQi4CqX,https://api.spotify.com/v1/tracks/4xYUnLUwwWMndNlCQi4CqX,https://api.spotify.com/v1/audio-analysis/4xYUnLUwwWMndNlCQi4CqX,256907,4,2010,acoustic
0.681,0.608,8,-8.369,1,0.0339,0.62,0.000425,0.136,0.315,123.991,audio_features,3e5UDAmMzMUM95PqjVHC4L,spotify:track:3e5UDAmMzMUM95PqjVHC4L,https://api.spotify.com/v1/tracks/3e5UDAmMzMUM95PqjVHC4L,https://api.spotify.com/v1/audio-analysis/3e5UDAmMzMUM95PqjVHC4L,227129,4,2010,acoustic
0.651,0.621,8,-7.271,1,0.0359,0.637,0.000122,0.0712,0.914,77.578,audio_features,3ihp0qYSN89GBnrgF6GhRh,spotify:track:3ihp0qYSN89GBnrgF6GhRh,https://api.spotify.com/v1/tracks/3ihp0qYSN89GBnrgF6GhRh,https://api.spotify.com/v1/audio-analysis/3ihp0qYSN89GBnrgF6GhRh,135560,4,2010,acoustic
0.459,0.823,4,-6.481,1,0.037,0.00332,1.75e-05,0.189,0.55,152.062,audio_features,28lU91CRfUdWJEY7KbhZBL,spotify:track:28lU91CRfUdWJEY7KbhZBL,https://api.spotify.com/v1/tracks/28lU91CRfUdWJEY7KbhZBL,https://api.spotify.com/v1/audio-analysis/28lU91CRfUdWJEY7KbhZBL,228960,4,2010,acoustic
0.476,0.608,7,-7.133,1,0.0495,0.641,2.27e-06,0.0771,0.63,125.757,audio_features,5n7VRrWOauM64haQHKd8QM,spotify:track:5n7VRrWOauM64haQHKd8QM,https://api.spotify.com/v1/tracks/5n7VRrWOauM64haQHKd8QM,https://api.spotify.com/v1/audio-analysis/5n7VRrWOauM64haQHKd8QM,188987,4,2010,acoustic
0.597,0.304,4,-10.483,1,0.0311,0.789,3.8e-06,0.178,0.3,136.084,audio_features,6bSY42jHs2rQoeAAlqxilu,spotify:track:6bSY42jHs2rQoeAAlqxilu,https://api.spotify.com/v1/tracks/6bSY42jHs2rQoeAAlqxilu,https://api.spotify.com/v1/audio-analysis/6bSY42jHs2rQoeAAlqxilu,215600,4,2010,acoustic
